Random waveform, supplied seed
Total number of intervals = 240 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535)
Average QPS expected = 51628
Timestamp start: 1684577146952
Timestamp end: 1684578347404

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      458.8   606.5   173.5   242.4   266.4   419.8   478.1   509.0   531.5   555.6   588.0   640.2  1095.4  7715.0 30359.2   7392.0     7434
read      439.1   346.1   160.7   214.3   228.2   337.9   424.2   490.6   547.6   629.3   763.2  1033.4  1568.3  3390.8  9877.1  66848.0    67201
read      458.0   476.1   160.7   219.5   234.1   341.7   398.2   441.5   484.2   549.6   699.6  1410.7  1944.8  4248.6 12216.7  85922.2    85927
read      465.8   380.1   160.7   217.3   232.3   359.7   460.6   536.3   602.2   693.4   821.5  1064.0  1621.9  3381.7 11001.2  63931.2    63953
read      585.2   455.8   173.5   233.2   253.1   446.1   608.7   716.5   812.0   956.5  1147.2  1395.5  1877.4  3223.4 13240.1  31605.6    31595
read      491.1   497.2   160.7   222.8   239.8   362.0   426.2   473.6   521.6   594.4   788.2  1543.5  1994.4  4319.4 12894.1  87863.4    87879
read      487.9   820.1   173.5   241.3   265.9   417.6   478.6   509.5   532.4   557.6   591.2   664.6  2601.3 10040.1 38212.1   7272.8     7287
read      476.4   491.5   160.7   219.5   234.3   351.4   445.1   518.5   582.2   672.3   839.9  1185.7  1836.1  5583.0 13301.0  62034.8    62295
read      569.4  1552.4   187.4   246.1   273.0   419.3   477.7   508.3   532.3   559.6   595.4   681.3  4533.3 25560.0 39589.7   6551.8     6561
read      533.2   673.7   160.7   220.5   237.4   443.6   567.9   640.3   689.8   745.8   818.1   960.6  1729.4  8959.8 28524.9  22553.8    22532
read      491.3   561.1   160.7   219.1   233.8   354.9   460.9   541.2   611.6   718.5   892.6  1217.5  1813.1  5433.1 24906.6  60769.6    60653
read      489.6   478.8   160.7   217.5   231.8   354.2   465.9   553.4   632.8   745.0   915.1  1202.2  1756.3  5440.6 15209.1  59043.6    59076
read      483.6   437.6   160.7   217.1   231.5   354.8   467.0   552.5   628.7   741.4   901.6  1173.3  1708.6  4135.0 12791.2  60427.4    60154
read      496.4   569.1   160.7   218.8   234.8   425.6   541.6   610.2   657.0   707.6   765.5   858.6  1310.8  7455.1 27629.1  22988.4    22964
