#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      289.8   302.4    80.4   125.0   136.8   225.6   294.9   344.5   382.8   426.8   488.3   626.2   987.9  3387.8 12224.9  30053.2    30000  1683285048609  1683285058746
read      291.0   285.4    80.4   131.7   145.0   236.2   296.6   337.8   370.2   410.7   466.4   573.2  1026.9  3559.1  9840.5  29974.1    30005  1683285060255  1683285070376
read      255.2   208.8    74.4   121.8   134.6   221.1   272.2   305.4   331.9   365.7   410.3   476.2   629.3  2288.6  8208.5  30041.6    30010  1683285071885  1683285081990
read      291.5   442.0    80.4   123.0   134.1   216.2   285.5   333.7   371.2   418.2   481.8   613.4  1023.7  7072.8 16191.7  30041.6    30015  1683285083498  1683285093606
read      311.8   484.5    80.4   123.0   134.3   215.7   280.6   331.3   376.3   435.1   532.0   755.7  1366.4  7576.7 15484.6  30037.4    30020  1683285095116  1683285105224
read      276.7   466.4    68.9   123.8   135.6   218.5   277.2   317.4   349.5   391.8   445.5   548.9   942.7  4079.7 13851.7  29942.7    30025  1683285106733  1683285116839
read      281.2   269.4    80.4   124.5   137.9   230.8   295.3   337.6   369.7   408.2   457.5   545.8   910.4  2640.4 10536.3  29927.2    30030  1683285118349  1683285128455
read      281.5   265.9    80.4   128.7   140.5   226.1   289.6   333.3   368.6   409.9   465.1   581.0   914.5  2798.6  8697.6  29990.0    30035  1683285129963  1683285140072
read      287.3   315.1    74.4   128.4   140.9   233.0   295.6   335.4   366.8   403.6   454.2   552.8   953.8  4389.4 11888.3  29958.4    30040  1683285141580  1683285151743
read      297.2   309.5    74.4   128.0   140.6   230.3   299.7   348.2   388.5   436.4   504.3   653.9  1032.1  3483.6 12379.5  29969.4    30045  1683285153265  1683285163380
read      294.6   286.7    80.4   129.7   142.8   235.1   302.8   348.1   384.5   427.7   486.1   611.0   999.3  3204.2 11499.5  30075.4    30050  1683285164890  1683285174997
read      293.9   262.7    80.4   132.8   148.6   249.3   312.4   352.7   384.6   423.4   471.7   554.3   860.6  2486.5  9742.3  30034.9    30055  1683285176503  1683285186606
read      279.7   215.7    80.4   135.5   150.8   247.7   303.2   337.9   364.6   396.5   437.9   500.0   656.1  1880.6  8435.0  30002.5    30060  1683285188115  1683285198236
read      275.5   199.4    80.4   130.9   145.8   244.0   300.6   334.9   360.6   392.0   432.9   496.5   668.6  2125.6  8135.3  30083.5    30065  1683285199744  1683285209854
read      267.7   210.2    74.4   128.5   143.0   237.3   291.3   324.5   349.2   379.2   418.1   478.8   634.5  1808.2  9367.9  30036.4    30070  1683285211362  1683285221495
read      281.4   215.6    80.4   130.2   145.1   242.8   302.4   339.4   367.8   402.4   449.0   524.6   782.1  2168.0  7988.3  30005.0    30075  1683285223007  1683285233116
read      271.2   221.1    80.4   126.1   140.8   239.4   294.2   327.6   352.9   385.1   427.3   490.2   648.1  2413.0  8603.9  30008.3    30080  1683285234623  1683285244732
read      282.7   250.7    74.4   127.8   142.9   244.5   304.9   342.0   371.6   407.7   455.1   525.8   736.4  2123.9  9484.6  30089.2    30085  1683285246243  1683285256351
read      279.6   223.2    80.4   130.2   146.0   246.6   304.1   339.0   366.1   399.1   443.5   509.3   694.7  2083.2  8109.7  30074.0    30090  1683285257861  1683285267975
read      277.5   217.2    80.4   131.9   148.1   246.8   300.8   334.8   361.0   393.0   435.0   500.1   656.5  1667.0  8588.5  30169.4    30095  1683285269483  1683285279598
read      269.8   214.1    80.4   130.2   145.5   240.0   291.3   323.2   348.1   380.2   422.0   483.8   629.5  1727.7  9469.9  30100.9    30100  1683285281106  1683285291218
read      289.4   282.1    74.4   126.1   140.8   236.2   299.7   340.0   372.2   415.2   474.8   584.4   999.6  2326.9 11267.7  30122.1    30105  1683285292725  1683285302829
read      275.5   260.6    74.4   129.0   143.2   239.0   294.3   328.9   356.1   390.2   435.1   504.6   715.4  2343.5 12218.9  30012.6    30110  1683285304337  1683285314441
read      279.0   210.5    80.4   134.4   149.8   248.0   301.0   334.2   360.3   392.6   435.4   502.6   678.5  2012.6  8414.2  30240.9    30115  1683285315949  1683285326069
read      263.3   225.4    80.4   129.3   143.8   234.6   283.1   313.0   336.4   365.2   402.1   461.4   596.3  2279.8  9097.4  30126.5    30120  1683285327577  1683285337682
