#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      258.4   213.8    74.4   133.9   147.4   224.3   272.0   303.5   327.4   357.0   395.7   459.7   642.3  2190.4  8233.7  29984.0    30000  1683206560696  1683206570836
read      248.7   296.8    86.8   130.1   140.9   207.6   248.4   276.9   301.5   334.6   383.2   458.6   710.4  3435.8 11236.6  30077.8    30005  1683206572345  1683206582465
read      256.5   399.6    80.4   127.8   138.8   207.1   250.8   281.5   306.3   338.0   383.1   455.4   757.2  6677.3 17223.4  30070.7    30010  1683206583973  1683206594084
read      246.5   385.7    80.4   121.5   131.3   197.7   237.6   265.7   289.1   320.5   370.0   445.8   777.0  5758.5 15063.8  30019.6    30015  1683206595592  1683206605708
read      255.3   322.3    80.4   129.0   140.9   214.1   258.4   289.4   313.6   343.9   385.3   450.7   684.3  4298.5 12158.0  30049.5    30020  1683206607216  1683206617331
read      253.2   221.4    80.4   131.3   144.0   219.0   268.1   300.6   324.5   353.4   390.4   445.9   588.8  2625.7  8633.1  30070.0    30025  1683206618838  1683206628945
read      254.3   244.1    80.4   127.6   139.1   215.4   265.2   296.6   321.1   353.5   397.7   468.4   685.8  2769.7 11511.6  30020.4    30030  1683206630453  1683206640564
read      247.2   230.5    86.8   132.8   144.4   214.6   256.3   284.8   307.2   335.4   374.0   434.0   580.6  2514.2  9496.5  29980.1    30035  1683206642074  1683206652185
read      254.6   235.8    80.4   128.2   140.4   219.4   268.1   298.6   322.5   353.6   394.8   458.4   653.1  2454.0 10259.2  29947.2    30040  1683206653693  1683206663801
read      251.5   238.3    80.4   130.7   142.6   216.7   262.7   292.4   315.6   344.8   386.1   449.7   623.5  2642.3 10339.7  29943.0    30045  1683206665309  1683206675418
read      249.5   256.3    80.4   127.1   138.1   212.3   260.3   291.6   315.4   344.6   384.9   448.8   634.9  3233.1 10862.4  30085.0    30050  1683206676925  1683206687033
read      260.4   233.9    80.4   129.2   141.7   223.7   273.5   306.1   331.1   362.4   403.8   471.6   693.2  2501.1  8727.5  29928.3    30055  1683206688542  1683206698646
read      250.7   198.7    80.4   133.5   145.5   217.8   266.1   297.5   321.1   349.1   385.1   436.1   569.5  2370.5  8135.6  30089.3    30060  1683206700156  1683206710290
read      274.2   337.9    74.4   130.7   145.0   228.3   280.0   312.6   336.9   366.7   404.8   471.1   846.1  4871.7 12858.1  30086.1    30065  1683206711800  1683206722006
read      254.5   220.5    80.4   131.9   146.5   224.6   271.3   301.6   324.2   351.5   387.1   437.8   566.5  2165.7 10314.4  30102.3    30070  1683206723518  1683206733625
read      259.6   225.8    80.4   137.5   151.2   229.4   276.3   306.4   328.9   356.2   391.6   445.5   577.0  2030.8  9166.8  30039.9    30075  1683206735132  1683206745235
read      256.3   236.4    80.4   133.8   148.1   225.4   273.3   304.1   326.6   353.5   387.7   438.4   563.0  2439.8 11629.6  30091.6    30080  1683206746745  1683206756847
read      244.9   212.0    80.4   127.4   140.4   214.0   259.6   290.2   313.4   341.1   376.7   430.0   550.0  1899.1  8612.6  30094.9    30085  1683206758356  1683206768465
read      251.9   243.5    80.4   129.3   142.1   218.7   269.6   300.9   323.8   350.9   386.1   436.5   548.4  2790.9 10390.5  29993.8    30090  1683206769970  1683206780086
read      262.2   221.4    80.4   135.6   150.2   231.0   280.7   311.7   334.8   362.4   397.5   452.8   589.2  2248.5  8660.8  30164.1    30095  1683206781593  1683206791703
read      259.8   201.8    80.4   133.8   149.7   231.0   278.5   309.0   331.8   359.4   394.4   448.9   580.3  1841.7  8630.8  30101.8    30100  1683206793212  1683206803326
read      254.4   221.8    80.4   133.3   146.6   224.7   271.9   301.5   323.5   350.5   386.5   439.4   568.4  1881.0  9865.5  30081.9    30105  1683206804835  1683206814940
read      260.7   214.8    80.4   136.7   150.9   229.8   278.6   309.4   332.4   360.0   394.9   450.0   584.0  2067.2  8747.6  30163.8    30110  1683206816447  1683206826562
read      253.8   223.9    80.4   133.6   147.6   223.7   270.0   299.5   321.5   347.9   382.6   433.1   554.3  2310.5  8688.3  30133.8    30115  1683206828069  1683206838179
read      246.3   238.7    74.4   129.2   141.9   214.5   260.9   291.0   313.8   341.1   375.5   426.3   537.9  2587.9 10222.8  30238.6    30120  1683206839687  1683206849797
