#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      407.7   385.9   187.4   261.4   286.0   376.0   410.5   431.2   447.6   466.8   495.7   541.2   704.3  6782.2 14255.1   4903.0     5000  1683803520046  1683803525409
read      407.4   257.7   173.5   244.8   267.2   395.5   439.3   463.4   480.7   501.1   529.5   574.7   689.3  3550.1 11989.6   9872.4    10000  1683803526913  1683803532239
read      416.6   385.4   173.5   238.6   258.0   398.2   456.1   485.2   504.7   528.5   556.1   603.0   730.7  4241.9 15706.3  14935.8    15000  1683803533741  1683803539039
read      407.3   271.3   173.5   235.0   254.1   390.1   454.0   485.9   507.0   532.0   561.6   608.8   730.0  2022.1 15075.2  19932.6    20000  1683803540541  1683803545837
read      413.1   249.6   173.5   237.4   256.4   386.7   459.2   496.2   520.6   546.5   580.5   629.8   748.1  3387.2  9284.9  24966.6    25000  1683803547340  1683803552639
read      407.1   235.4   173.5   234.8   253.3   380.6   450.8   490.2   516.4   544.5   579.8   631.7   763.7  1736.5  8695.4  30039.7    30000  1683803554143  1683803559439
read      404.2   252.3   173.5   230.5   249.4   379.8   444.1   481.9   507.5   536.8   572.8   626.9   759.3  2113.4 10121.4  35119.8    35000  1683803560943  1683803566216
read      398.4   197.2   173.5   228.2   245.8   374.6   439.4   479.4   507.6   538.5   575.9   629.4   746.5  1473.9  6641.0  39912.1    40000  1683803567719  1683803573006
read      392.9   192.2   160.7   226.6   243.6   368.0   430.5   468.8   498.1   530.3   568.8   625.5   751.0  1681.7  8823.0  44789.0    45000  1683803574509  1683803579790
read      389.9   214.1   160.7   224.6   240.7   364.0   428.4   466.3   494.6   527.2   566.9   623.9   746.4  1530.0  8885.2  49840.6    50000  1683803581294  1683803586576
read      376.5   215.7   160.7   221.3   236.0   345.0   407.9   447.5   476.6   511.2   553.0   615.8   740.0  1690.5  8179.8  55126.0    55000  1683803588079  1683803593361
read      374.0   190.0   160.7   220.3   234.1   340.1   402.8   442.6   473.1   510.2   553.2   616.6   765.2  1626.2  7619.2  59798.4    60000  1683803594864  1683803600141
read      366.3   184.9   160.7   220.3   233.6   333.6   393.6   430.5   459.8   495.1   538.4   600.4   743.4  1666.6  8856.8  65053.2    65000  1683803601644  1683803606928
read      364.0   203.6   160.7   220.3   233.6   331.8   390.2   425.9   453.6   487.2   530.7   593.6   742.0  1618.2  9087.3  70086.6    70000  1683803608432  1683803613721
read      357.9   177.6   160.7   219.6   232.4   326.7   382.6   416.9   443.5   475.6   518.9   584.0   738.9  1645.8  6872.7  74852.4    75000  1683803615227  1683803620494
read      352.5   188.6   160.7   219.6   231.9   321.4   375.6   408.1   433.9   466.0   507.7   573.7   726.3  1402.3  7872.1  79974.1    80000  1683803621997  1683803627276
read      351.8   168.5   160.7   220.4   233.2   322.6   375.1   406.7   432.1   463.3   503.9   567.7   708.2  1449.9  8069.5  85001.8    85000  1683803628779  1683803634056
read      349.3   194.9   160.7   218.1   230.3   320.3   373.3   403.9   428.4   457.6   495.8   554.3   712.1  1553.2  8383.7  89980.4    90000  1683803635559  1683803640836
read      344.7   193.7   160.7   219.9   232.3   318.1   366.5   395.2   417.4   444.4   480.9   539.4   679.6  1462.0  8563.4  95061.0    95000  1683803642339  1683803647614
read      343.1   164.6   160.7   220.0   232.6   319.2   366.4   394.0   415.0   440.7   475.9   534.4   682.1  1253.0  5268.9  99866.4   100000  1683803649117  1683803654391
read      329.5   143.3   160.7   217.5   229.1   307.0   348.7   373.7   394.2   419.3   453.6   507.6   638.7  1329.5  4378.6 105037.8   105000  1683803655894  1683803661173
read      343.9   170.6   160.7   220.5   233.7   320.9   366.3   392.9   413.0   437.3   471.5   530.9   679.0  1501.4  7650.6 109933.6   110000  1683803662676  1683803667954
read      347.8   162.7   160.7   222.2   237.0   327.5   371.3   397.2   417.2   441.3   474.4   532.2   680.3  1088.5  7159.9 114830.2   115000  1683803669458  1683803674740
read      350.5   154.9   160.7   223.8   239.4   331.6   374.9   400.2   420.0   443.2   474.8   530.8   676.1  1166.5  4988.5 120439.8   120000  1683803676243  1683803681522
read      383.6   175.0   160.7   231.4   250.4   358.5   407.5   437.2   462.4   494.5   540.3   623.1   805.7  1202.8  8182.5 124936.0   125000  1683803683025  1683803688301
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 68.25%,1.01%,100.00%
