#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      414.7   435.7   187.4   274.4   297.5   381.1   416.3   435.6   452.0   469.1   499.4   551.5   741.0  5889.8 21342.3   4967.4     5000  1683830164432  1683830169800
read      411.6   297.3   187.4   250.9   275.0   396.2   437.9   460.8   476.8   498.7   527.6   575.6   698.0  4494.9 14318.9  10011.6    10000  1683830171304  1683830176630
read      412.2   294.4   173.5   240.5   260.7   398.1   451.2   476.5   495.1   515.9   545.0   593.4   710.1  3808.9 14372.0  14968.0    15000  1683830178134  1683830183431
read      410.4   267.5   173.5   235.2   252.5   392.7   458.9   490.0   509.7   534.1   563.8   612.3   732.5  3693.0 12066.1  19986.0    20000  1683830184935  1683830190237
read      404.1   242.1   173.5   231.6   248.3   382.0   453.4   489.0   511.9   536.5   566.7   612.9   719.5  3278.1  8678.1  25102.4    25000  1683830191739  1683830197044
read      400.8   229.0   173.5   230.6   246.4   373.3   446.4   485.8   511.7   539.5   574.2   625.2   738.4  2717.9  8799.5  29894.8    30000  1683830198547  1683830203823
read      393.0   210.5   173.5   229.7   245.0   362.7   435.1   477.9   506.0   536.8   574.1   627.6   746.3  1201.6  8383.6  34997.0    35000  1683830205325  1683830210607
read      394.5   212.9   173.5   230.9   247.0   366.4   435.0   475.1   503.1   533.7   569.9   623.7   742.8  1414.6  8913.7  39894.6    40000  1683830212112  1683830217412
read      382.8   216.9   173.5   228.0   242.3   341.3   411.8   457.9   491.0   526.6   566.7   625.0   781.8  2339.3  8554.5  44897.0    45000  1683830218915  1683830224196
read      377.2   192.7   173.5   226.3   240.9   343.8   409.7   451.2   480.9   514.5   552.4   609.5   730.6  1485.2  7840.4  49964.6    50000  1683830225700  1683830230974
read      370.0   184.4   173.5   225.3   239.5   335.9   398.7   438.7   469.2   505.1   544.7   597.7   721.5  1290.3  7382.9  54747.7    55000  1683830232477  1683830237766
read      364.2   188.8   160.7   224.0   238.0   329.5   388.9   428.2   459.6   496.6   539.3   592.9   712.6  1288.8  7969.7  59935.4    60000  1683830239268  1683830244545
read      354.2   162.8   160.7   221.7   234.6   319.1   374.6   412.4   442.5   479.3   523.9   583.3   710.5  1484.8  6277.9  65062.8    65000  1683830246048  1683830251325
read      352.0   162.0   160.7   221.7   234.5   318.6   372.7   408.5   436.9   471.6   515.6   576.5   692.0  1281.1  6399.2  70071.8    70000  1683830252828  1683830258104
read      346.6   172.6   160.7   222.8   236.3   313.5   362.8   396.5   424.3   459.2   502.9   563.1   684.2  1283.3  6546.5  75009.2    75000  1683830259609  1683830264883
read      343.0   147.0   160.7   222.0   235.1   313.3   360.7   392.0   417.5   450.3   492.8   550.4   676.8  1056.6  5499.1  80156.8    80000  1683830266387  1683830271664
read      337.7   157.8   160.7   220.5   232.7   309.6   354.9   384.5   407.4   437.4   479.0   538.6   662.9  1102.4  7275.7  84934.1    85000  1683830273167  1683830278445
read      334.6   158.4   160.7   220.1   231.4   307.8   352.2   380.4   402.2   431.6   470.6   530.9   646.3  1233.6  6185.0  89848.6    90000  1683830279948  1683830285235
read      326.4   153.9   173.5   219.7   230.4   302.5   343.4   369.2   389.5   415.0   451.4   506.1   616.2  1223.3  6115.6  94995.6    95000  1683830286739  1683830292018
read      329.4   171.4   160.7   220.2   231.7   307.3   348.8   373.8   393.8   418.2   451.9   503.0   609.6   990.1  7553.4  99886.2   100000  1683830293521  1683830298801
read      327.8   156.2   160.7   220.5   232.0   306.7   346.5   371.4   391.0   414.7   447.2   498.6   607.9  1086.8  5505.7 104984.0   105000  1683830300304  1683830305584
read      330.5   162.1   160.7   220.8   232.4   307.5   349.4   375.6   396.1   421.1   454.1   504.0   625.2  1029.8  7801.8 109834.6   110000  1683830307087  1683830312358
read      334.1   158.5   160.7   222.0   234.9   312.4   353.1   376.7   395.6   418.6   449.8   500.5   661.0  1201.2  7013.8 114975.3   115000  1683830313862  1683830319142
read      332.1   141.0   160.7   221.8   234.8   312.4   353.4   377.7   396.5   419.4   449.3   497.4   620.3  1013.5  5672.8 120173.0   120000  1683830320645  1683830325919
read      340.7   144.0   160.7   225.5   239.7   322.1   363.6   387.8   404.6   427.9   457.9   505.1   636.0  1037.4  6232.8 124769.8   125000  1683830327423  1683830332705
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 68.47%,1.01%,100.00%
