#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      410.7   400.6   173.5   265.6   291.2   380.1   415.4   434.5   451.6   470.1   501.4   554.9   748.0  7793.8 15374.5   4972.8     5000  1683829149731  1683829155083
read      431.5   295.7   173.5   246.8   270.6   415.4   468.6   497.2   516.7   538.7   568.9   620.6   777.9  4767.9 11966.2   9970.4    10000  1683829156591  1683829161924
read      431.2   297.3   173.5   237.1   257.4   408.4   482.3   519.4   544.2   573.1   606.4   652.9   761.1  3757.6 12456.6  14960.0    15000  1683829163427  1683829168718
read      437.3   236.4   173.5   237.3   257.1   407.8   492.3   538.0   568.7   601.2   635.9   689.2   803.2  3325.8  9233.3  20220.4    20000  1683829170221  1683829175516
read      445.6   294.0   173.5   234.4   254.7   413.9   496.1   545.2   579.3   616.4   660.4   723.5   866.3  2488.6 11623.6  25029.8    25000  1683829177019  1683829182316
read      439.1   233.1   173.5   232.7   251.6   404.9   486.9   538.7   575.6   617.5   666.9   732.5   870.1  1556.7  8823.3  29906.0    30000  1683829183820  1683829189102
read      436.9   231.1   160.7   232.4   250.7   405.3   481.8   531.0   568.8   612.6   665.1   734.6   867.4  1439.4  9699.9  35107.9    35000  1683829190606  1683829195886
read      451.1   294.8   160.7   236.0   255.1   418.1   497.2   543.2   580.3   626.2   683.9   765.7   927.4  2016.4 10328.3  39816.4    40000  1683829197389  1683829202663
read      444.5   242.7   173.5   233.3   252.1   411.9   492.0   538.5   574.8   619.1   674.7   754.3   935.2  1740.5  7910.2  45112.6    45000  1683829204166  1683829209439
read      421.9   205.7   173.5   227.6   244.7   387.3   463.6   509.3   545.6   592.2   651.5   733.6   884.4  1191.0  7884.1  49922.6    50000  1683829210942  1683829216225
read      424.1   242.9   160.7   226.6   244.1   392.9   467.2   510.7   543.9   584.7   639.1   721.8   879.1  1564.6 10825.4  55021.8    55000  1683829217730  1683829222999
read      415.9   216.7   173.5   226.4   243.7   384.6   458.4   501.7   534.7   575.3   630.0   713.8   863.7  1173.8  8530.0  59997.8    60000  1683829224502  1683829229780
read      424.6   226.8   160.7   227.4   245.9   394.6   470.8   514.1   546.1   585.5   635.7   717.2   880.1  1222.5  9451.0  64967.8    65000  1683829231284  1683829236555
read      422.4   223.7   160.7   229.2   248.0   392.2   465.6   509.1   541.6   580.7   630.9   708.6   867.6  1268.3  8414.8  70074.4    70000  1683829238057  1683829243336
read      424.6   225.1   160.7   229.8   249.5   398.3   469.7   510.5   540.7   577.5   625.3   701.9   866.1  1232.9  9454.5  74999.6    75000  1683829244839  1683829250109
read      422.8   193.8   160.7   230.8   250.5   394.9   463.8   505.0   536.3   574.5   626.8   711.1   881.3  1217.9  6988.9  79725.9    80000  1683829251613  1683829256895
read      477.0   270.1   160.7   247.9   275.4   440.7   519.3   568.2   604.7   650.1   714.0   815.4  1020.1  1648.3  9559.0  84792.8    85000  1683829258399  1683829263665
read      451.1   200.4   173.5   245.5   270.2   419.5   490.9   535.5   570.3   613.2   670.6   761.0   940.9  1255.3  5594.0  90027.4    90000  1683829265168  1683829270440
read      697.6   343.9   187.4   401.4   432.6   597.0   832.9   905.5   945.7   989.1  1038.7  1104.3  1256.1  2670.9 11489.6  90240.0    95000  1683829271944  1683829277225
read      693.6   366.9   187.4   399.0   430.6   597.0   825.3   895.5   935.4   979.3  1027.3  1096.7  1239.8  2402.4 14972.0  92666.8   100000  1683829278728  1683829284003
read      706.9   334.7   187.4   414.5   445.7   591.5   854.0   930.7   970.5  1008.4  1054.6  1108.8  1236.7  2568.7 12484.7  91938.2   105000  1683829285506  1683829290790
read      725.8   355.2   173.5   432.3   461.0   599.9   881.3   962.7  1002.2  1044.4  1088.8  1157.7  1274.8  2982.2 13216.8  90095.6   110000  1683829292294  1683829297569
read      719.3   368.9   173.5   428.6   456.6   589.1   884.5   957.4   992.9  1029.8  1070.6  1127.7  1259.8  3297.6 14471.6  90888.6   115000  1683829299071  1683829304364
read      721.1   367.5   187.4   427.8   455.9   596.1   879.3   955.3   992.7  1032.1  1076.6  1142.7  1269.7  2986.7 14657.5  90764.6   120000  1683829305868  1683829311138
read      710.1   400.6   173.5   417.1   447.1   589.1   859.4   935.2   974.4  1012.4  1059.5  1118.8  1252.9  3019.0 16748.1  92251.4   125000  1683829312642  1683829317915
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 66.88%,1.01%,100.00%
