#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      422.3   455.3   187.4   271.2   295.0   388.8   426.9   449.2   465.2   487.0   515.4   570.5   745.2  8531.9 16155.0   4955.6     5000  1683830516483  1683830521851
read      434.8   368.7   187.4   249.0   273.5   415.0   467.5   496.0   515.7   539.5   570.5   619.8   754.1  5362.5 16286.0   9975.8    10000  1683830523357  1683830528687
read      444.8   316.0   173.5   241.3   263.1   422.1   498.9   536.0   561.1   589.1   623.7   674.6   806.0  4032.6 12816.4  15039.6    15000  1683830530190  1683830535482
read      439.2   328.5   173.5   238.0   256.7   405.3   491.9   537.7   568.0   599.8   635.1   688.1   812.7  3985.5 17581.9  19942.6    20000  1683830536985  1683830542277
read      444.4   282.4   173.5   236.8   256.2   408.4   494.8   546.5   581.7   619.0   661.9   723.7   864.7  2200.0 12301.0  24997.4    25000  1683830543780  1683830549063
read      438.4   231.4   173.5   235.2   254.2   402.2   484.9   537.5   575.3   616.5   663.3   729.5   868.1  1975.0  7971.1  29901.6    30000  1683830550566  1683830555868
read      453.6   265.0   173.5   238.3   259.2   424.8   504.0   550.2   586.4   627.5   676.5   742.6   892.0  1659.0 12174.6  35045.2    35000  1683830557371  1683830562650
read      446.9   513.5   173.5   236.2   255.7   416.4   494.5   540.8   576.9   619.2   671.6   743.6   904.9  1541.4 11073.6  39993.8    40000  1683830564155  1683830569451
read      447.2   258.2   173.5   235.9   255.9   415.5   494.4   540.6   576.6   620.0   675.2   752.0   928.2  1538.2  9322.7  44914.0    45000  1683830570954  1683830576235
read      441.1   260.2   160.7   234.4   253.0   405.5   485.0   532.7   568.9   612.8   669.2   751.0   933.2  2318.3 10870.3  49978.8    50000  1683830577738  1683830583005
read      424.5   213.3   173.5   229.9   247.9   392.0   466.2   510.5   545.1   587.8   641.7   726.5   893.9  1514.4  8227.0  55190.6    55000  1683830584509  1683830589791
read      414.2   216.8   160.7   226.1   242.9   383.7   457.8   501.3   534.6   575.1   626.6   705.3   852.6  1145.5  8381.5  60045.6    60000  1683830591294  1683830596575
read      427.7   237.5   173.5   228.5   247.4   395.8   473.4   519.2   551.7   591.1   641.7   723.2   884.2  1495.9  8000.8  65047.4    65000  1683830598078  1683830603362
read      418.8   205.3   160.7   229.4   247.4   388.8   461.7   504.2   536.8   576.4   626.9   702.8   860.3  1217.8  8135.7  70057.4    70000  1683830604865  1683830610139
read      427.4   237.0   160.7   230.9   250.4   397.4   469.7   512.3   544.8   584.2   634.1   714.6   876.0  1268.0 10138.1  75025.4    75000  1683830611642  1683830616917
read      435.6   217.1   173.5   234.7   255.7   405.5   477.3   520.7   552.0   592.0   645.4   730.7   921.3  1265.7  8612.7  79819.0    80000  1683830618420  1683830623693
read      454.2   229.4   173.5   239.8   263.3   418.8   492.2   537.1   572.0   615.9   678.4   795.4  1037.9  1342.0  8654.2  85017.0    85000  1683830625196  1683830630468
read      571.2   294.5   173.5   300.3   338.9   520.0   635.8   705.4   752.0   803.6   862.8   943.3  1088.7  2140.9 11086.5  89850.2    90000  1683830631971  1683830637248
read      730.9   383.9   173.5   420.3   454.0   621.3   870.7   950.7   994.4  1041.4  1093.0  1169.0  1283.0  3927.5 15596.4  88064.0    95000  1683830638751  1683830644025
read      673.1   321.5   173.5   382.4   412.5   593.7   805.4   866.8   904.1   941.3   992.0  1064.7  1199.2  2297.2 10642.3  94167.6   100000  1683830645528  1683830650803
read      743.6   394.8   173.5   445.8   476.8   609.3   904.7   991.4  1032.9  1070.4  1112.6  1173.8  1292.3  3788.7 15540.6  88107.0   105000  1683830652306  1683830657584
read      718.3   359.1   173.5   430.0   457.5   591.7   870.0   954.3   993.8  1034.8  1078.5  1145.0  1268.8  3611.2 13303.0  91011.6   110000  1683830659087  1683830664359
read      721.8   367.9   187.4   425.3   455.4   603.9   867.5   948.1   988.9  1031.5  1079.3  1151.6  1276.8  3660.8 13857.5  90660.2   115000  1683830665862  1683830671131
read      729.2   373.3   173.5   436.2   465.0   607.5   858.7   961.0  1007.3  1053.9  1100.7  1176.8  1324.3  3452.2 13963.0  89775.8   120000  1683830672634  1683830677918
read      704.9   359.8   173.5   417.6   447.1   584.2   850.1   934.9   974.5  1012.2  1059.8  1120.6  1253.5  2737.1 13904.4  92691.2   125000  1683830679421  1683830684701
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 67.50%,1.50%,100.00%
