#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      426.7   492.4   173.5   270.4   295.6   386.8   424.4   446.0   462.6   483.0   508.4   561.0   812.9  8478.7 15677.9   4948.6     5000  1683832471180  1683832476547
read      434.4   295.1   187.4   247.7   271.3   419.6   476.2   503.2   523.7   546.4   577.0   622.5   744.3  4338.5 12683.3   9944.4    10000  1683832478051  1683832483382
read      452.2   302.7   173.5   243.1   265.4   426.9   508.7   547.2   573.0   600.4   633.8   685.7   829.5  4003.9 12130.8  14923.2    15000  1683832484885  1683832490180
read      447.2   238.3   160.7   235.9   255.8   417.7   506.6   554.0   586.0   620.3   660.2   717.1   847.1  2707.4 11251.6  19986.2    20000  1683832491683  1683832496965
read      473.3   274.3   173.5   239.4   259.9   438.6   533.2   586.7   624.0   665.2   714.5   789.6   961.2  3151.8  9882.8  24874.0    25000  1683832498469  1683832503756
read      471.1   323.6   173.5   232.5   250.2   424.7   523.1   578.2   617.8   663.8   722.9   825.4  1138.1  4251.4 10586.9  29929.4    30000  1683832505260  1683832510561
read      477.4   304.7   173.5   232.1   249.5   415.9   520.6   582.7   627.9   680.6   747.7   883.1  1370.2  3230.0  9917.6  35066.2    35000  1683832512065  1683832517342
read      459.8   293.9   173.5   230.5   247.7   404.5   504.5   565.1   610.2   661.9   726.0   833.5  1188.1  2199.4 11072.2  40009.6    40000  1683832518846  1683832524128
read      456.3   274.9   173.5   230.0   247.6   405.1   503.9   565.9   611.5   663.7   727.5   820.4  1061.1  2102.2  8015.9  44907.6    45000  1683832525632  1683832530913
read      450.2   250.8   173.5   228.8   245.6   395.9   493.5   553.2   600.6   657.2   726.2   831.2  1107.0  1835.9  6843.3  50085.5    50000  1683832532416  1683832537696
read      453.9   290.2   160.7   228.6   246.1   394.5   493.0   554.6   601.2   657.2   728.1   843.4  1150.1  2220.1  9572.4  55169.4    55000  1683832539200  1683832544477
read      435.3   242.3   160.7   225.9   241.5   373.8   464.3   523.3   570.7   630.0   706.9   832.1  1175.4  1833.5  7384.5  59979.4    60000  1683832545982  1683832551260
read      436.7   264.2   173.5   224.4   240.1   369.4   462.1   523.0   572.1   632.6   716.2   857.2  1216.9  1993.6  9422.3  64809.8    65000  1683832552763  1683832558045
read      436.9   290.1   160.7   223.7   238.9   361.0   447.9   504.9   553.8   620.2   716.2   905.7  1396.7  2142.9  9799.3  69947.8    70000  1683832559549  1683832564825
read      451.7   318.3   173.5   225.3   241.4   367.3   456.0   517.8   571.9   644.3   751.6   984.6  1478.9  2434.6  8628.6  74966.7    75000  1683832566328  1683832571605
read      477.9   337.2   160.7   230.1   247.9   380.2   472.5   543.9   607.5   691.5   826.5  1068.0  1667.0  2679.6 10258.5  79878.4    80000  1683832573109  1683832578388
read      472.3   335.6   173.5   232.0   249.5   374.8   463.0   532.8   597.7   683.5   814.4  1057.2  1646.0  2732.4 10068.8  84910.2    85000  1683832579891  1683832585178
read      672.7   594.2   173.5   262.1   284.6   385.0   555.8   882.2  1171.3  1426.4  1572.4  1739.1  2481.7  3633.2 13919.5  88687.6    90000  1683832586681  1683832591954
read      717.8   873.4   173.5   274.1   292.7   373.6   508.4  1011.8  1339.4  1486.1  1609.9  1761.5  2696.5  9738.0 31304.5  90601.9    95000  1683832593457  1683832598731
read      762.9   949.8   173.5   296.2   314.3   392.7   518.5  1232.1  1444.7  1554.5  1663.3  1810.7  2722.0 12397.2 31756.3  86426.0   100000  1683832600235  1683832605517
read      753.9   932.6   173.5   288.2   308.0   391.0   554.2  1135.7  1408.4  1528.3  1645.1  1798.8  2719.9 11616.2 31136.1  87380.2   105000  1683832607020  1683832612300
read      754.0   932.1   173.5   285.6   305.8   391.4   540.1  1190.7  1426.3  1539.1  1650.9  1796.6  2690.0 11772.6 31499.9  87463.0   110000  1683832613802  1683832619074
read      761.7   866.3   173.5   279.4   300.5   404.0   642.4  1156.3  1418.2  1537.7  1652.2  1810.3  2741.0  9699.9 31087.5  86515.4   115000  1683832620577  1683832625852
read      725.1   780.6   173.5   278.3   297.6   378.7   545.6  1110.6  1404.8  1514.0  1625.7  1771.5  2676.7  8193.4 27451.2  90516.2   120000  1683832627356  1683832632628
read      807.0  1102.9   173.5   283.0   306.3   401.8   646.9  1075.1  1386.4  1526.7  1657.9  1853.6  4797.6 13509.8 30878.4  81283.8   125000  1683832634130  1683832639420
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 68.00%,0.50%,100.00%
