#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      404.1   389.9   187.4   271.2   295.0   374.2   405.7   425.9   439.4   459.4   486.5   536.1   671.8  7785.8 15374.7   4972.2     5000  1683832791319  1683832796679
read      421.0   309.2   173.5   254.3   279.0   407.0   451.6   474.0   493.0   513.2   542.6   588.9   717.0  4058.2 11060.4  10062.4    10000  1683832798184  1683832803514
read      420.9   219.7   173.5   244.2   265.3   410.9   467.6   495.5   514.3   537.8   568.0   615.2   729.8  1991.9  8628.9  14973.9    15000  1683832805017  1683832810312
read      433.3   343.2   173.5   241.4   260.8   411.1   483.3   516.8   538.3   563.4   592.9   642.7   785.8  4025.7 14588.9  19973.2    20000  1683832811816  1683832817115
read      409.3   255.8   173.5   233.3   250.4   386.6   458.8   495.1   518.8   544.1   576.4   624.1   745.0  2491.3 10887.1  24992.2    25000  1683832818618  1683832823916
read      406.2   234.3   173.5   233.0   249.0   378.5   454.8   496.2   523.1   550.2   584.6   634.7   748.6  1470.5  9906.6  29824.4    30000  1683832825420  1683832830703
read      404.3   205.8   173.5   233.5   249.9   375.7   448.7   490.5   519.2   549.2   585.7   637.3   770.1  1693.2  9317.1  35010.0    35000  1683832832206  1683832837484
read      391.3   230.7   160.7   229.8   245.0   357.7   426.5   470.1   501.9   535.8   573.7   625.7   743.4  1705.6  9847.5  40016.8    40000  1683832838987  1683832844274
read      387.3   192.2   173.5   229.9   245.4   358.3   424.8   465.0   494.6   526.9   564.2   617.6   735.1  1268.5  7662.8  44960.6    45000  1683832845778  1683832851061
read      376.8   176.7   173.5   227.6   242.3   346.0   411.3   451.0   480.2   512.9   549.2   599.9   705.5  1265.8  7692.1  49862.6    50000  1683832852564  1683832857832
read      375.2   201.2   160.7   225.9   240.3   337.8   402.3   445.6   478.5   515.8   558.1   614.3   748.0  1385.8  9121.9  55056.8    55000  1683832859335  1683832864621
read      366.4   194.2   160.7   223.9   237.8   332.5   394.6   433.3   464.1   500.7   541.5   593.3   704.9  1090.1  8787.7  60088.4    60000  1683832866127  1683832871401
read      360.4   195.3   160.7   223.4   237.1   322.9   380.7   419.6   450.8   489.8   536.1   596.0   729.9  1367.6  7726.7  64945.2    65000  1683832872904  1683832878186
read      362.0   221.0   160.7   222.2   235.1   316.3   371.0   410.0   442.4   483.7   534.5   606.0   900.7  2377.0  7890.0  70132.4    70000  1683832879691  1683832884969
read      355.5   171.8   160.7   222.3   235.6   320.7   375.1   410.5   437.9   473.8   521.0   584.2   736.4  1391.0  7516.5  74920.4    75000  1683832886473  1683832891748
read      343.8   159.6   160.7   221.5   233.6   311.9   361.5   394.3   420.8   454.2   498.2   562.0   689.2  1217.9  6792.3  79904.9    80000  1683832893251  1683832898526
read      329.4   148.0   160.7   219.9   230.3   299.1   341.3   370.2   394.7   427.2   471.0   533.7   644.2  1253.1  5719.8  84968.0    85000  1683832900028  1683832905313
read      340.6   165.1   173.5   222.1   234.5   311.8   358.6   388.4   411.2   440.6   481.6   541.9   680.7  1218.7  7538.4  89950.8    90000  1683832906816  1683832912095
read      339.7   166.9   160.7   221.2   233.8   315.0   361.3   389.5   410.8   437.6   473.8   530.4   639.1  1100.3  6800.0  94822.6    95000  1683832913599  1683832918866
read      335.8   145.6   173.5   222.0   234.4   311.1   354.5   381.1   401.4   428.5   464.8   522.3   647.8  1271.5  5686.4 100027.8   100000  1683832920370  1683832925645
read      331.4   174.7   160.7   221.2   233.3   309.0   350.4   375.2   395.0   419.2   451.8   501.6   606.6  1548.4  7516.6 104915.1   105000  1683832927149  1683832932436
read      331.9   142.7   160.7   221.8   234.5   312.0   353.2   377.2   396.1   419.7   451.2   499.7   604.0  1067.4  6774.4 109878.8   110000  1683832933940  1683832939212
read      354.3   148.7   160.7   227.5   242.8   335.6   381.1   406.3   426.7   450.8   482.3   534.1   663.5  1100.5  6450.7 114787.6   115000  1683832940715  1683832945990
read      356.2   191.6   173.5   228.8   244.5   336.7   381.2   406.1   426.3   450.1   481.4   534.5   671.5  1079.5  9156.9 119914.4   120000  1683832947495  1683832952773
read      331.9   143.1   160.7   224.4   238.1   313.1   350.8   373.5   392.2   414.1   443.7   492.3   608.4  1088.7  6398.0 124639.0   125000  1683832954277  1683832959564
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 67.50%,1.01%,100.00%
