#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      412.0   425.0   173.5   255.4   282.9   378.1   413.1   434.5   451.8   470.1   500.2   543.9   689.0  8098.3 12455.3   4962.6     5000  1683802349695  1683802355068
read      432.9   348.9   173.5   238.1   260.6   413.4   473.9   504.7   527.2   551.0   584.9   636.4   764.9  4247.8 16264.9  10026.2    10000  1683802356572  1683802361930
read      436.4   246.3   173.5   234.2   254.9   414.0   494.9   533.9   560.1   589.4   627.0   681.4   800.2  3171.3  8509.1  14908.8    15000  1683802363433  1683802368745
read      445.5   240.6   160.7   232.8   253.9   414.4   504.9   552.2   584.9   620.8   664.1   728.4   861.1  2039.9  9496.7  19966.4    20000  1683802370249  1683802375565
read      472.2   257.8   173.5   236.7   259.4   437.4   526.7   579.1   618.0   663.8   720.2   799.9   970.6  3026.8  9090.0  24886.2    25000  1683802377068  1683802382383
read      467.4   283.1   160.7   233.2   255.4   430.8   519.4   571.6   610.8   657.4   717.1   802.9   987.1  1905.0 12511.0  29924.4    30000  1683802383886  1683802389191
read      464.4   266.0   160.7   228.6   249.5   427.6   515.6   567.7   607.7   656.5   718.0   804.3  1001.4  2597.8 10503.1  34950.2    35000  1683802390694  1683802395990
read      463.2   288.1   160.7   229.2   250.3   425.4   514.5   566.7   606.0   654.1   716.6   804.1   998.7  2461.6 10443.8  39813.4    40000  1683802397493  1683802402768
read      454.8   290.7   160.7   225.9   245.1   414.6   504.9   557.5   596.0   641.8   705.8   797.3  1011.5  1836.2 12365.0  44970.0    45000  1683802404271  1683802409548
read      445.4   289.2   160.7   224.8   242.9   407.2   493.6   544.5   583.0   629.1   687.8   781.8   976.4  2119.8  9069.9  50047.5    50000  1683802411051  1683802416337
read      445.7   243.4   160.7   224.1   242.4   407.3   496.5   547.4   586.2   632.2   692.5   789.5   991.3  1413.3  8952.5  54925.4    55000  1683802417841  1683802423128
read      439.3   269.1   160.7   222.5   240.2   399.7   486.7   537.8   575.8   621.3   681.3   777.3   976.3  1553.2  9492.9  60018.6    60000  1683802424630  1683802429918
read      439.9   268.3   160.7   223.6   241.8   399.6   486.5   537.8   575.7   620.2   677.3   768.7   972.7  1700.8 12214.3  65194.2    65000  1683802431421  1683802436706
read      439.9   241.8   160.7   226.2   245.2   400.7   483.6   533.0   570.2   615.3   675.1   771.9   982.5  2017.7  9596.6  69828.2    70000  1683802438210  1683802443490
read      439.9   252.0   160.7   227.0   247.5   404.8   483.8   530.2   565.3   609.0   667.1   756.5   960.8  1529.7 10060.9  75011.6    75000  1683802444993  1683802450265
read      450.7   250.9   160.7   233.4   256.7   417.0   494.5   540.8   576.7   619.8   676.8   766.6   964.0  1409.7  9813.6  79886.5    80000  1683802451768  1683802457047
read      467.6   255.2   160.7   240.7   267.1   431.9   511.5   561.1   598.8   643.3   704.7   798.8   995.7  1361.2 11518.3  84975.6    85000  1683802458550  1683802463836
read      720.3   370.0   187.4   418.1   454.9   609.2   817.3   935.6   993.3  1047.1  1099.0  1169.3  1308.6  2765.1 14008.3  87575.4    90000  1683802465340  1683802470623
read      730.0   392.5   173.5   437.1   468.1   606.0   851.6   959.1  1009.9  1056.6  1103.4  1171.1  1307.1  3099.1 15536.8  88689.4    95000  1683802472127  1683802477416
read      724.2   380.6   173.5   437.8   469.2   602.1   824.5   956.0  1009.5  1058.5  1108.9  1174.5  1283.5  2842.1 16656.2  89918.4   100000  1683802478920  1683802484207
read      784.4   442.2   173.5   486.9   519.8   643.0   822.2  1043.8  1108.1  1156.2  1208.8  1270.4  1383.1  4036.4 17394.6  83895.8   105000  1683802485710  1683802491006
read      751.0   401.7   173.5   462.8   492.7   617.4   842.4  1003.5  1055.1  1102.2  1152.5  1218.2  1352.3  3496.2 17253.5  87337.4   110000  1683802492510  1683802497795
read      748.1   378.6   173.5   455.7   487.9   619.9   850.5   993.8  1047.8  1095.0  1146.7  1210.9  1348.0  2228.4 13920.3  87446.6   115000  1683802499299  1683802504567
read      729.5   372.6   173.5   442.8   473.7   600.7   847.2   966.4  1017.6  1064.1  1114.1  1176.9  1311.3  2747.1 15331.7  89805.2   120000  1683802506070  1683802511354
read      754.5   437.6   173.5   465.1   493.8   618.3   855.6  1008.8  1059.5  1107.1  1155.6  1219.4  1339.4  3937.1 17425.5  87148.2   125000  1683802512857  1683802518138
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 75.71%,12.50%,100.00%
