#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      424.0   366.0   187.4   270.8   297.5   392.5   430.2   453.7   470.2   494.8   526.2   584.0   790.6  7046.0 14219.8   5029.6     5000  1683829495345  1683829500807
read      439.7   406.1   173.5   247.7   270.7   419.5   473.0   501.5   522.7   546.8   581.3   632.5   766.0  5658.6 18950.4  10038.6    10000  1683829502312  1683829507639
read      434.9   270.8   173.5   241.3   261.5   415.6   489.2   526.4   550.8   579.6   614.3   664.5   759.1  3831.0 11406.8  14988.0    15000  1683829509142  1683829514439
read      441.3   323.0   173.5   236.8   256.8   410.3   496.3   541.0   571.8   605.6   643.3   695.1   826.0  2581.2 11973.4  19850.3    20000  1683829515942  1683829521267
read      442.8   236.3   173.5   237.1   256.9   408.5   492.8   543.5   578.8   618.1   663.8   726.9   861.4  2033.1  8455.1  25029.6    25000  1683829522771  1683829528070
read      452.3   274.2   173.5   237.7   258.1   417.6   499.9   548.9   587.1   629.9   679.6   748.4   908.9  2546.1 11436.1  29903.6    30000  1683829529574  1683829534877
read      446.8   269.5   173.5   237.4   256.8   413.4   492.5   539.9   576.1   618.7   669.4   738.0   896.9  3046.3 11690.1  34858.6    35000  1683829536380  1683829541653
read      447.2   294.1   173.5   234.7   254.8   416.6   494.3   539.3   573.1   614.6   668.2   740.7   898.1  2340.8 12490.7  39998.6    40000  1683829543156  1683829548430
read      436.0   215.6   173.5   233.4   252.4   409.3   484.5   528.0   560.1   600.4   653.5   729.4   874.1  1229.4  8110.1  45157.4    45000  1683829549933  1683829555230
read      430.9   210.7   173.5   230.3   248.7   398.2   475.4   521.7   555.9   599.6   655.9   735.8   909.1  1437.0  7647.2  49952.0    50000  1683829556734  1683829562012
read      421.3   245.8   160.7   228.7   246.0   389.8   463.1   506.8   540.8   582.9   636.0   715.6   869.0  1352.8  9138.4  55069.8    55000  1683829563516  1683829568804
read      413.5   237.3   173.5   223.2   239.5   379.3   453.5   497.2   530.7   572.1   626.3   710.0   877.4  2024.1  8570.4  60052.6    60000  1683829570308  1683829575587
read      412.9   239.4   160.7   225.2   242.0   379.9   452.7   496.1   529.1   569.5   623.1   704.9   868.9  1310.5 10557.7  65028.2    65000  1683829577091  1683829582363
read      409.2   216.1   173.5   225.4   242.4   381.2   450.6   490.8   521.0   557.9   609.1   686.6   848.7  1153.9  8791.3  69976.0    70000  1683829583866  1683829589144
read      414.5   226.0   160.7   228.2   246.2   386.1   454.5   494.7   525.0   562.1   613.6   690.9   864.0  1235.1  9795.5  74867.8    75000  1683829590647  1683829595921
read      422.1   253.1   160.7   230.8   250.5   393.8   461.9   501.7   532.7   570.5   620.2   692.4   860.1  1354.1 11001.3  79929.8    80000  1683829597424  1683829602703
read      425.1   226.7   173.5   235.8   256.4   397.9   465.6   505.2   535.9   573.0   620.8   692.4   857.6  1222.0 10413.4  84961.4    85000  1683829604208  1683829609490
read      557.4   270.5   173.5   289.4   327.8   510.4   617.4   684.0   731.2   785.0   847.0   931.6  1089.6  1506.3  9842.7  90046.0    90000  1683829610994  1683829616264
read      582.3   322.8   173.5   307.6   345.2   537.1   656.6   717.7   758.0   803.3   859.5   940.6  1108.7  2907.1 12347.0  94212.5    95000  1683829617767  1683829623044
read      707.2   363.4   173.5   412.0   443.2   598.0   849.3   921.9   962.5  1001.8  1050.9  1115.1  1254.7  2420.4 15151.6  91414.0   100000  1683829624547  1683829629821
read      694.6   362.1   173.5   406.6   436.2   584.4   848.6   910.9   945.6   981.1  1016.6  1078.0  1186.8  3054.6 15633.3  93366.8   105000  1683829631325  1683829636604
read      686.1   312.2   173.5   405.5   432.4   573.9   844.7   904.4   936.7   971.5  1007.0  1066.0  1175.9  2685.7 10817.5  94860.0   110000  1683829638107  1683829643383
read      689.2   326.9   173.5   398.9   428.6   590.8   831.5   896.9   933.9   973.8  1014.6  1080.5  1216.0  1956.1 13167.5  94590.4   115000  1683829644887  1683829650193
read      722.1   360.8   173.5   432.3   458.4   590.1   894.3   960.8   993.5  1028.2  1069.4  1125.3  1251.4  2660.5 13488.0  90493.8   120000  1683829651697  1683829656968
read      702.1   381.2   187.4   417.1   445.6   574.9   862.9   933.4   968.8  1002.4  1043.9  1093.3  1215.9  3217.5 16088.3  93130.8   125000  1683829658471  1683829663747
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 74.37%,10.05%,100.00%
