#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      430.1   477.5   173.5   263.7   293.4   392.1   432.0   456.4   472.8   495.9   525.4   579.3   763.7  9315.7 15380.2   4954.0     5000  1683802886462  1683802891842
read      442.9   310.4   173.5   246.2   269.2   422.5   485.2   517.5   539.5   565.7   597.3   659.4   832.7  3911.4 15068.7   9981.4    10000  1683802893348  1683802898680
read      463.4   282.8   173.5   239.6   261.9   436.2   520.2   564.7   595.5   631.3   674.9   739.5   897.0  3577.5 11722.5  15068.4    15000  1683802900184  1683802905482
read      467.4   264.4   173.5   229.1   246.3   412.9   511.0   568.1   613.0   675.5   773.6   909.5  1164.6  1604.4  8920.2  20153.1    20000  1683802906986  1683802912274
read      483.5   368.5   160.7   226.0   244.2   421.8   526.4   588.7   636.5   698.4   788.3   942.3  1238.1  3454.8 13798.7  24873.0    25000  1683802913778  1683802919086
read      500.3   326.5   173.5   231.6   250.6   429.9   545.8   617.6   672.4   738.3   830.8   996.3  1340.9  2812.6  9883.9  29888.0    30000  1683802920590  1683802925894
read      486.4   362.0   160.7   225.8   242.0   394.7   511.1   585.6   647.8   729.9   845.1  1068.5  1424.2  2608.2 12614.3  35042.0    35000  1683802927397  1683802932684
read      493.3   325.9   160.7   227.4   245.3   413.6   533.6   608.0   667.6   740.8   837.5  1009.8  1406.1  2340.2 12194.4  40065.0    40000  1683802934187  1683802939486
read      471.4   326.0   160.7   223.3   239.3   389.9   501.9   574.3   633.5   706.3   796.7   944.8  1405.9  2834.1  9573.0  45163.0    45000  1683802940989  1683802946267
read      468.0   341.3   173.5   223.0   238.6   377.9   491.0   569.6   633.8   713.5   810.0   966.2  1375.7  2174.7 12494.7  49845.8    50000  1683802947770  1683802953049
read      452.6   353.3   160.7   220.9   235.2   364.4   465.6   536.6   597.4   676.0   776.5   946.4  1419.4  2587.4 12565.8  54927.0    55000  1683802954552  1683802959838
read      461.5   345.2   160.7   221.4   235.7   361.6   465.0   536.3   597.6   686.0   814.8  1049.8  1535.2  2237.3 12918.6  59955.0    60000  1683802961341  1683802966613
read      462.9   327.4   160.7   223.5   239.6   372.1   473.6   545.7   607.5   686.8   802.9  1001.7  1432.6  2316.8  9880.0  64876.4    65000  1683802968117  1683802973398
read      456.8   311.5   160.7   223.0   238.9   367.5   462.8   531.4   593.4   678.9   792.4   999.3  1436.1  2355.2  8998.6  70074.7    70000  1683802974902  1683802980174
read      466.5   327.8   160.7   224.3   240.7   366.0   462.1   534.3   602.3   699.6   837.5  1064.1  1522.7  2394.9  9388.8  74976.3    75000  1683802981678  1683802986953
read      488.4   450.4   160.7   227.2   244.8   366.5   461.1   539.2   617.0   726.7   898.3  1147.8  1787.5  4136.8 14417.8  79799.4    80000  1683802988456  1683802993764
read      750.1   692.7   173.5   278.6   302.8   406.3   639.9  1151.7  1414.3  1542.0  1670.3  1841.9  2730.0  5126.7 16501.2  82805.0    85000  1683802995269  1683803000553
read      766.6   775.4   160.7   289.2   311.0   401.3   606.9  1272.2  1460.2  1568.4  1676.6  1830.9  2754.4  7590.4 23571.3  85135.0    90000  1683803002057  1683803007345
read      784.1   979.0   160.7   297.5   318.5   403.5   584.0  1245.8  1451.9  1563.6  1673.7  1830.3  2769.6 12390.1 31594.4  84418.8    95000  1683803008849  1683803014139
read      770.8  1127.5   160.7   289.2   308.8   391.4   498.0  1100.4  1418.9  1537.3  1657.3  1824.1  2941.8 13629.0 35756.1  86515.2   100000  1683803015643  1683803020934
read      799.5   988.4   173.5   297.8   321.2   415.2   610.0  1326.5  1489.5  1588.9  1695.5  1847.1  2757.2 12520.1 32169.2  82779.6   105000  1683803022438  1683803027727
read      787.3  1043.5   173.5   298.7   320.3   401.7   554.3  1279.2  1463.9  1574.0  1680.8  1829.3  2755.0 12753.6 32323.3  84178.0   110000  1683803029231  1683803034516
read      768.8  1080.0   173.5   285.6   306.1   396.8   513.7  1104.1  1417.8  1538.5  1655.8  1814.3  2765.5 12838.2 32042.9  86373.4   115000  1683803036020  1683803041318
read      765.2   974.1   173.5   280.6   301.6   400.2   562.0  1174.8  1425.8  1543.1  1659.3  1820.5  2759.9 11509.5 32027.8  86615.2   120000  1683803042821  1683803048096
read      785.3   932.4   173.5   294.7   316.8   406.5   596.8  1284.4  1465.0  1575.6  1683.8  1835.9  2756.9 11710.5 31235.4  84286.4   125000  1683803049599  1683803054898
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 75.37%,12.12%,100.00%
