#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      437.6   467.4   187.4   271.7   297.7   398.5   439.2   463.1   480.9   503.2   534.7   586.2   799.3  7992.1 14512.5   4990.0     5000  1683832052173  1683832057636
read      437.5   360.3   173.5   248.4   272.4   419.0   474.8   503.6   524.3   546.4   577.6   625.0   759.5  4663.9 15671.3   9987.6    10000  1683832059140  1683832064484
read      450.6   306.3   173.5   243.1   264.7   427.6   506.7   543.9   569.6   596.9   632.3   686.8   816.4  4793.8 11735.0  15011.8    15000  1683832065987  1683832071300
read      448.1   272.3   173.5   238.7   259.0   417.8   508.8   553.4   583.6   616.1   653.4   711.0   839.9  3219.6  8799.5  19895.2    20000  1683832072802  1683832078113
read      453.3   267.5   173.5   238.8   259.0   418.7   507.6   557.7   591.9   628.7   673.1   736.5   872.6  3213.1 10110.3  25007.0    25000  1683832079617  1683832084923
read      447.8   253.1   173.5   238.5   258.6   415.9   498.1   546.9   583.3   623.7   670.7   735.4   868.1  2533.9 11256.2  29934.2    30000  1683832086426  1683832091734
read      453.0   264.5   173.5   237.7   258.4   422.0   501.9   549.8   586.5   629.1   680.4   751.0   905.3  1626.5 10473.4  34925.4    35000  1683832093237  1683832098525
read      445.9   261.5   173.5   235.3   254.7   414.4   495.2   541.9   577.3   619.2   672.2   744.5   897.0  2038.2  9779.8  39969.4    40000  1683832100027  1683832105304
read      437.3   230.3   173.5   231.5   250.4   406.5   485.0   531.3   566.1   608.2   661.4   738.7   889.6  1253.7  9400.0  44925.2    45000  1683832106807  1683832112087
read      431.0   213.8   160.7   229.9   248.1   398.3   476.7   524.0   558.4   601.1   657.6   735.5   901.3  1258.7  7837.9  49993.4    50000  1683832113590  1683832118867
read      424.6   233.8   173.5   228.4   246.1   391.0   467.6   512.3   547.0   589.9   643.9   727.8   888.8  1338.9  9569.3  55001.6    55000  1683832120371  1683832125650
read      421.4   208.2   160.7   228.8   246.5   387.8   462.2   506.5   540.8   582.4   636.5   724.3   888.2  2202.0  6318.0  59979.6    60000  1683832127154  1683832132432
read      424.5   229.6   173.5   232.7   251.0   391.1   466.3   509.9   543.9   585.1   638.1   723.5   885.7  1275.1  9737.0  64947.6    65000  1683832133935  1683832139213
read      422.4   232.9   160.7   230.8   249.6   389.3   461.2   504.6   537.7   577.7   630.5   716.1   904.7  1447.2  9470.2  70132.8    70000  1683832140716  1683832145995
read      412.6   206.4   173.5   228.1   246.1   383.9   454.3   495.6   526.3   563.0   611.8   688.1   855.0  1175.6  8187.2  74966.0    75000  1683832147498  1683832152769
read      423.0   206.1   160.7   230.5   250.2   396.4   465.0   504.9   535.6   573.0   622.9   700.5   879.4  1442.4  8148.6  79854.4    80000  1683832154273  1683832159545
read      429.6   215.9   160.7   235.2   256.4   401.9   469.4   510.4   541.8   579.6   629.0   711.2   892.3  1476.3  8747.5  85051.1    85000  1683832161049  1683832166336
read      483.5   234.2   173.5   255.2   284.7   449.6   529.7   579.5   617.3   662.6   722.2   808.7   981.6  1354.0  9044.9  90033.2    90000  1683832167839  1683832173125
read      565.4   284.3   173.5   296.8   333.2   524.1   641.5   702.6   742.5   786.9   839.2   914.1  1065.2  1993.6 11357.8  94859.6    95000  1683832174629  1683832179904
read      709.2   331.5   187.4   412.2   444.1   602.7   855.4   925.5   964.8  1002.7  1050.0  1109.1  1254.5  3033.6 11455.3  91373.0   100000  1683832181408  1683832186683
read      689.8   318.6   173.5   396.2   426.6   599.4   825.0   890.7   928.1   970.3  1015.7  1087.3  1230.3  2722.9 11008.2  93899.6   105000  1683832188187  1683832193457
read      695.8   349.5   173.5   402.3   432.2   596.2   840.6   904.2   939.5   979.0  1019.0  1087.7  1244.8  2268.7 13446.3  93624.6   110000  1683832194960  1683832200232
read      726.0   374.1   173.5   427.1   456.8   607.7   874.2   952.6   994.6  1039.4  1088.0  1160.9  1281.5  3319.4 13703.5  90179.1   115000  1683832201736  1683832207019
read      674.8   334.1   173.5   388.9   417.5   583.1   814.1   875.5   910.3   945.8   993.4  1060.2  1183.3  2363.5 12630.9  96720.2   120000  1683832208522  1683832213797
read      716.3   380.3   173.5   406.5   440.4   615.5   855.4   925.3   965.4  1004.9  1057.2  1134.6  1360.8  3276.2 14981.1  91203.0   125000  1683832215301  1683832220568
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 73.77%,8.63%,100.00%
