Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1684936537827
Timestamp end: 1684937738259

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      322.1   398.8    74.4   143.1   173.6   300.5   347.5   372.7   390.5   410.1   434.5   472.2   620.7  4228.0 20270.2   7364.2     7434
read      349.8   374.9    68.9   125.6   143.3   302.2   385.2   432.8   467.8   514.2   575.5   675.8  1014.6  4252.5 12318.4  67335.6    67201
read      280.4   185.2    63.8   113.9   129.3   253.8   321.1   360.0   388.1   421.0   460.4   519.9   663.2  1620.4  6912.0  85826.4    85927
read      288.4   200.0    63.8   113.6   128.9   263.3   335.1   373.8   401.9   434.1   470.8   532.6   680.4  1538.3  6335.2  63945.4    63953
read      450.9   709.5    68.9   115.7   132.6   316.1   469.1   606.9   689.1   781.1   878.5  1008.0  1474.4  7584.1 31678.5  31607.1    31595
read      304.2   378.5    63.8   117.1   132.6   259.0   330.5   372.8   403.7   440.9   488.4   567.1   888.2  3876.5 12835.9  87820.2    87879
read      431.1  1323.2    80.4   149.1   182.9   318.4   370.0   398.6   419.8   444.4   480.8   579.6  2982.6 23596.6 41204.9   7321.8     7287
read      317.6   403.5    68.9   117.7   132.6   273.0   348.6   393.1   425.2   461.5   508.9   592.4  1031.3  4188.2 12749.4  62282.4    62295
read      416.1  1406.0    86.8   155.5   186.1   298.3   343.7   368.5   386.8   407.5   436.8   508.9  3242.6 30482.0 40899.9   6572.9     6561
read      422.3   707.3    68.9   122.7   141.0   335.1   460.3   552.1   598.7   645.6   704.5   803.7  1154.8  8644.2 31469.9  22427.9    22532
read      297.6   337.9    68.9   114.4   128.8   261.4   330.7   371.4   401.6   435.9   474.7   539.3   836.1  3606.5 10238.1  60784.0    60653
read      303.7   359.6    68.9   116.5   131.6   269.2   341.5   383.8   413.7   447.5   487.9   551.3   751.9  3383.1 11662.2  59175.8    59076
read      293.6   283.0    68.9   115.2   129.7   264.0   333.9   373.9   403.5   436.9   474.6   535.3   709.7  2290.7  9593.8  60259.6    60154
read      417.8   760.0    68.9   120.5   138.2   328.8   448.5   538.6   589.5   639.0   695.9   792.3  1137.8 10042.5 32137.1  22967.8    22964
read      395.1  1069.7    74.4   148.3   178.2   311.9   363.9   392.0   411.7   434.6   466.6   546.9  2098.9 12623.1 36835.3   8208.9     8172
read      454.7   954.7    68.9   120.2   137.6   316.6   456.5   573.9   636.1   700.2   778.6   892.6  1673.8 11123.3 32348.6  27656.1    27652
read      376.7   684.3    68.9   117.2   132.7   279.5   373.5   431.1   473.5   550.4   685.0   884.5  1239.8  8119.0 31440.6  37675.9    37594
read      419.7   714.0    68.9   120.3   137.4   325.0   451.7   552.2   602.6   653.5   716.2   814.3  1193.5  9774.6 31250.2  24386.4    24367
read      400.9   678.5    68.9   116.9   132.9   285.3   402.3   478.8   567.3   661.7   774.3   917.2  1263.0  9344.9 31169.9  33736.1    33771
read      304.4   391.5    68.9   117.8   132.6   259.5   330.3   371.4   401.8   438.2   483.8   557.7   886.3  4629.6 14120.5  84815.0    84944
read      306.4   318.1    68.9   119.9   135.4   266.4   339.1   382.5   414.7   452.2   500.9   579.2   787.7  3503.7 11636.4  85729.4    85666
read      311.1   270.9    68.9   118.0   132.8   277.6   355.9   400.5   432.5   467.0   511.7   583.0   792.2  2707.2  8703.1  51930.9    51918
read      434.0   793.0    68.9   120.0   136.6   301.0   425.4   514.5   603.6   706.9   832.7   990.0  1477.2 11222.9 31989.9  34421.1    34406
read      398.4   359.8    68.9   120.7   138.4   317.9   449.1   556.9   623.5   690.9   775.8   876.6  1071.9  2497.3 15296.0  28666.0    28664
read      390.3   326.5    68.9   118.5   135.1   279.2   411.1   532.6   627.3   726.7   835.5   960.8  1157.6  1932.2  9623.4  38289.6    38289
read      375.3   279.7    74.4   123.7   142.0   337.5   434.0   499.6   554.7   608.1   666.0   747.1   887.1  1769.0 10315.6  20773.0    20658
read      347.8   253.2    68.9   128.1   149.5   330.1   397.0   432.2   457.1   492.5   547.2   616.0   758.0  2687.6  8137.8  13805.1    13840
read      304.8   356.6    68.9   120.0   135.9   262.2   332.3   373.5   404.5   442.8   492.4   574.8   822.9  3852.4 14590.9  93562.2    93419
read      296.5   341.3    68.9   118.3   133.7   257.5   326.1   367.4   397.8   434.0   481.4   557.2   745.4  3552.8 12479.7  98291.4    98284
read      309.8   330.1    68.9   119.3   134.7   272.3   347.8   392.2   424.2   460.7   507.2   582.0   790.6  2895.3 12429.7  71392.1    71313
read      303.6   300.5    68.9   114.8   129.4   269.3   345.1   389.8   421.0   453.7   491.9   549.1   801.9  3287.7 12576.5  42094.2    42089
read      354.8   519.5    68.9   116.6   131.9   271.8   358.1   413.4   453.0   503.6   592.8   887.3  1318.1  6541.6 25095.2  46452.4    46458
read      437.1   907.2    68.9   118.9   135.5   306.0   433.3   529.7   606.4   686.4   788.3   930.7  1512.8 13034.9 35222.5  30735.9    30755
read      366.2   591.2    68.9   116.0   131.1   273.6   360.0   416.2   456.7   512.1   634.4   923.7  1347.9  7747.6 29383.7  42827.2    42889
read      289.8   318.5    68.9   117.4   132.5   252.5   320.4   361.2   391.5   426.5   468.8   536.5   730.0  3183.5 15198.0  93344.9    93552
read      303.7   367.2    68.9   116.8   131.7   269.2   340.3   381.3   411.6   446.8   491.1   561.4   764.1  3277.6 15561.1  65665.5    65694
read      423.9   748.3    68.9   118.4   134.9   310.5   436.5   544.1   616.1   689.9   780.0   899.3  1342.1  9274.3 32119.4  29432.0    29574
read      306.9   399.5    68.9   114.2   128.7   264.8   335.9   377.6   408.4   443.6   485.0   551.7  1049.3  4278.6 13238.5  51486.4    51355
read      306.6   337.8    68.9   117.8   132.8   269.5   342.7   384.9   415.6   451.1   496.8   570.5   811.3  3402.4 13464.3  67314.9    67361
read      407.3   822.0    74.4   123.5   142.0   334.1   422.0   475.1   525.8   572.7   619.8   686.7  1110.6 10648.7 32165.4  16276.4    16287
read      297.7   357.8    68.9   116.8   131.7   257.6   327.7   368.3   397.7   432.2   473.7   543.9   842.4  3817.5 16027.7  81524.8    81508
read      295.2   303.6    68.9   117.6   132.5   258.2   327.8   368.1   397.6   432.5   476.1   547.1   757.4  3796.2  9656.3  87589.2    87619
read      293.6   336.4    68.9   117.7   132.7   253.9   321.4   362.8   393.4   429.6   474.1   545.3   753.3  3218.0 11905.2  99129.9    99068
read      334.7   425.9    68.9   115.8   130.9   268.3   345.0   393.5   429.1   470.1   538.9   794.3  1319.9  3950.8 12901.4  51306.5    51267
read      420.3  1151.9    74.4   130.6   153.4   326.2   395.5   432.4   458.5   496.2   552.2   629.2  2038.2 17411.2 40820.2  11871.9    11822
read      297.7   338.4    68.9   118.4   133.8   253.8   321.9   363.0   393.2   428.5   472.7   548.4   860.3  3978.2 11194.5  97365.8    97494
read      289.0   279.4    68.9   117.1   132.1   253.1   320.6   360.7   390.3   425.4   468.5   540.3   733.4  3052.2  9716.1  97240.9    97350
read      300.0   350.0    68.9   115.2   129.8   266.4   337.7   378.7   408.4   442.0   481.2   542.8   754.1  2846.4 11386.8  55498.9    55460
read      287.8   311.1    68.9   115.7   130.5   253.2   321.8   362.4   391.8   425.7   465.8   527.3   687.6  3463.6 11214.3  85852.0    85984
read      296.1   284.6    68.9   117.8   132.8   261.4   332.4   373.7   404.0   439.3   484.1   552.4   741.7  2831.0 11177.6  82058.0    82043
read      303.5   266.6    68.9   116.6   131.6   272.1   345.3   387.9   418.2   451.9   493.2   556.9   757.0  2922.8  8545.9  52814.9    52873
read      412.1   931.2    68.9   127.2   147.3   336.4   416.3   461.1   502.1   550.4   597.1   666.1  1315.5  9965.0 32233.0  13956.0    13911
read      325.7   545.5    68.9   115.1   129.9   266.2   339.7   384.4   417.3   454.0   501.6   608.5  1245.4  6139.2 27917.2  49944.6    49984
read      427.8  1351.3    74.4   140.6   168.6   314.4   370.9   401.3   422.8   447.3   482.4   575.6  2765.7 30414.9 37859.4   9160.5     9274
read      427.1   678.1    68.9   120.0   137.7   320.7   462.4   575.9   631.3   690.2   766.8   877.0  1164.8  8991.5 31150.8  27265.8    27187
