Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1684937811707
Timestamp end: 1684939012151

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      324.7   608.1    80.4   150.7   177.2   289.3   334.3   358.6   375.1   395.4   421.4   465.5   722.8  6977.6 29266.9   7376.2     7434
read      330.2   290.3    68.9   125.4   141.7   289.6   368.7   414.5   447.8   489.5   546.2   634.9   923.4  2769.3  9819.0  67144.8    67201
read      279.6   182.6    63.8   118.9   134.1   252.0   319.7   358.7   387.1   419.8   459.6   518.4   640.8  1287.4  7772.8  85949.1    85927
read      290.5   211.5    63.8   116.1   131.3   263.1   335.1   376.0   405.9   439.4   479.9   543.3   686.0  1428.0  6320.6  63819.1    63953
read      423.0   676.8    68.9   119.5   135.9   300.6   438.6   556.8   632.1   714.6   810.6   934.7  1304.6  9172.3 31488.2  31651.4    31595
read      299.3   396.6    68.9   117.4   132.3   256.5   326.3   367.4   398.0   433.7   479.9   554.0   811.5  4051.1 16179.8  87811.8    87879
read      409.7  1244.7    80.4   149.7   179.3   304.1   352.5   378.6   397.6   420.8   452.6   533.2  3112.3 25434.4 38430.4   7325.4     7287
read      298.0   431.5    68.9   114.8   129.2   257.0   326.0   366.6   396.4   431.0   471.4   535.8   825.9  4964.0 14017.7  62192.6    62295
read      374.7   993.6    86.8   155.0   183.5   298.6   341.5   365.9   383.7   403.9   431.6   490.9  2005.4 10800.4 32169.8   6582.9     6561
read      427.0   870.3    68.9   121.8   139.5   325.7   443.1   530.1   579.2   629.0   689.2   796.1  1377.0 12272.8 33490.0  22538.4    22532
read      300.5   296.0    63.8   117.3   132.1   263.7   334.2   375.2   406.1   442.3   488.2   560.5   896.6  2993.5  8395.6  60607.1    60653
read      296.6   285.4    63.8   115.9   130.6   263.6   333.4   374.1   404.3   438.7   481.2   546.6   754.4  2727.9 11000.8  59011.0    59076
read      291.7   263.9    63.8   115.3   129.8   262.1   331.2   370.5   399.7   432.9   471.8   535.7   718.6  2525.2 12196.8  60102.0    60154
read      432.1  1001.5    68.9   119.8   136.8   322.5   437.2   524.9   573.7   623.7   682.6   782.9  1794.5 13983.4 35724.9  23054.0    22964
read      392.7  1080.7    80.4   145.8   175.0   308.4   359.1   386.6   405.0   428.0   459.8   538.7  2191.7 12715.0 32496.4   8149.8     8172
read      420.8   723.5    68.9   119.7   136.7   310.7   445.0   551.5   610.3   672.5   748.0   860.5  1208.0  9589.5 31481.4  27649.5    27652
read      430.5   786.7    68.9   118.7   134.6   283.0   413.7   529.7   629.0   736.4   855.0  1001.5  1387.9 10939.9 30979.3  37634.1    37594
read      430.2   832.2    68.9   120.0   136.9   324.3   448.8   540.2   589.4   639.5   702.9   807.6  1604.6  9930.9 32334.8  24423.2    24367
read      421.6   708.3    68.9   117.7   133.7   291.4   433.2   556.2   632.0   712.3   806.2   930.3  1279.9  8917.8 31359.9  33810.2    33771
read      292.5   300.5    68.9   117.3   131.7   253.6   322.9   364.3   394.5   429.8   471.9   540.7   818.6  2938.1  9458.4  85059.8    84944
read      291.9   279.1    68.9   117.7   132.3   255.7   325.5   366.5   396.7   431.5   474.7   543.7   740.2  2814.8 10516.0  85474.4    85666
read      308.5   355.1    68.9   114.7   129.4   265.4   337.3   380.3   412.0   448.0   493.0   571.8  1087.2  3789.0 12283.8  51985.4    51918
read      401.3   607.2    68.9   116.2   132.1   280.8   416.1   536.1   613.8   691.3   784.5   899.4  1203.1  7722.7 30649.8  34454.1    34406
read      365.1   270.0    63.8   116.5   133.6   299.2   417.0   505.4   564.7   624.1   693.3   794.8   960.0  1908.0  8099.3  28741.0    28664
read      372.7   335.8    63.8   115.2   130.9   265.8   395.2   508.4   597.7   687.7   792.0   909.2  1084.7  1763.5 12284.1  38253.4    38289
read      353.7   291.3    68.9   121.3   139.1   321.9   407.1   459.5   504.5   550.4   603.0   676.6   824.4  3141.2 10058.6  20639.9    20658
read      337.8   241.0    68.9   128.7   149.5   320.6   384.3   418.3   442.7   474.7   524.2   587.1   714.6  2577.4  9417.8  14019.2    13840
read      302.5   333.1    68.9   119.8   135.4   258.4   328.3   370.0   401.3   439.0   491.3   575.1   874.2  3587.3 11937.2  93303.4    93419
read      300.1   334.7    68.9   120.9   136.9   259.7   329.4   371.2   402.3   440.1   490.3   569.1   781.4  3200.7 13605.8  98321.9    98284
read      289.4   281.5    68.9   115.9   130.3   257.2   327.5   367.7   397.1   430.8   470.9   534.8   703.8  2531.9  8039.0  71229.0    71313
read      297.4   251.6    68.9   114.9   129.4   268.6   341.4   383.7   413.4   445.3   483.1   541.3   767.2  2084.5  8054.8  42072.5    42089
read      300.1   289.9    68.9   115.1   129.7   268.4   341.0   383.5   413.4   445.9   486.0   547.8   787.7  2635.2 11030.7  46509.2    46458
read      421.9   795.0    68.9   116.9   132.9   290.5   431.1   553.9   618.4   683.9   767.0   884.7  1264.6 10170.0 31835.1  30735.9    30755
read      417.7   698.9    68.9   116.9   132.4   266.3   388.0   508.9   629.6   756.2   883.1  1031.8  1393.0  8800.1 31274.0  42893.1    42889
read      295.6   341.0    63.8   118.6   133.6   255.4   324.0   364.9   395.0   430.6   475.6   546.6   772.6  3544.0 12044.9  93689.8    93552
read      297.5   388.3    68.9   116.5   131.4   262.4   334.7   375.8   405.9   440.3   483.2   546.1   731.9  2825.2 11347.2  65450.2    65694
read      419.8   871.5    74.4   116.8   132.9   301.1   427.3   523.4   583.4   645.8   723.5   842.2  1567.9 10439.6 36074.0  29548.6    29574
read      306.1   331.8    68.9   115.3   130.0   266.4   338.3   380.6   411.5   445.4   488.1   557.9  1019.8  3926.2  9385.4  51247.8    51355
read      302.2   374.3    68.9   117.5   132.3   264.6   336.1   377.5   407.5   442.4   486.2   550.2   760.7  4000.0 12692.2  67483.5    67361
read      413.7   999.4    74.4   121.8   139.6   317.7   402.4   455.1   500.6   546.0   591.6   661.6  2050.5 12490.7 32521.4  16318.4    16287
read      294.3   326.0    68.9   117.7   132.2   255.9   325.0   365.1   394.5   429.1   471.2   538.5   795.9  3195.8 11029.2  81502.8    81508
read      287.4   271.1    68.9   118.8   133.6   251.4   320.1   360.4   390.2   424.6   466.3   531.9   708.8  2762.6  8573.4  87489.6    87619
read      289.4   306.1    68.9   117.8   132.9   251.6   318.8   359.6   389.5   424.7   469.2   540.0   729.8  3210.0 10031.3  99072.6    99068
read      346.4   437.1    68.9   116.8   131.7   260.8   340.4   395.1   436.5   492.8   599.4   940.0  1359.9  4381.8 15165.2  51357.4    51267
read      392.5   991.4    80.4   131.2   153.8   317.3   382.1   416.4   439.7   470.9   524.3   592.9  1460.2 10196.9 33891.1  11716.6    11822
read      290.0   279.9    68.9   118.1   132.7   250.8   318.3   358.6   388.4   423.5   467.7   539.1   790.1  2903.8  8225.4  97425.4    97494
read      283.1   302.8    68.9   116.3   130.7   246.8   313.1   351.7   380.9   415.0   457.7   523.0   687.7  3343.8 11889.3  97296.1    97350
read      297.2   287.7    68.9   115.1   129.6   265.5   336.7   377.8   407.6   441.0   481.7   543.6   762.5  3263.3  8600.7  55398.6    55460
read      290.2   263.1    68.9   117.3   131.9   255.3   325.6   366.2   395.8   429.8   471.2   539.6   733.8  2585.0  9498.8  86021.8    85984
read      293.4   277.0    68.9   117.6   132.2   258.7   329.4   370.1   400.1   434.9   479.1   546.2   737.5  2666.8 11338.5  82018.1    82043
read      326.4   457.1    63.8   115.3   130.0   263.5   339.5   386.5   420.8   461.3   519.6   677.4  1286.8  4732.5 19799.0  52663.5    52873
read      401.9   891.8    74.4   127.4   146.7   318.4   397.4   441.7   479.7   528.0   576.5   640.9  1576.6 11959.3 31975.5  13998.8    13911
read      360.0   657.9    68.9   115.9   130.7   260.7   340.1   395.1   437.4   495.4   625.5   978.7  1419.3  6880.5 30929.6  49875.1    49984
read      400.2  1071.7    80.4   139.3   166.6   308.6   364.6   393.9   414.3   436.8   476.1   567.1  2787.2 12251.1 36940.9   9271.1     9274
read      434.6   904.0    68.9   118.5   135.1   311.1   445.7   545.8   597.5   652.6   722.8   831.0  1585.8 10575.1 32110.7  27193.2    27187
read      403.2   740.4    68.9   121.2   138.6   327.2   428.6   500.6   544.2   586.1   633.9   708.4  1219.9 10050.4 31574.9  18717.2    18735
read      287.2   278.1    68.9   116.2   130.5   250.8   319.7   359.9   389.4   423.4   464.8   528.9   736.6  2771.3 10106.9  86733.2    86505
read      291.6   291.6    68.9   118.4   133.2   255.6   324.5   365.2   395.0   430.1   473.8   543.6   738.3  2631.0 10404.5  93034.8    93039
read      295.9   312.3    68.9   117.3   132.0   260.2   331.2   372.4   402.0   436.0   478.1   541.8   734.8  3141.7 12139.2  75985.6    75999
read      421.6   822.0    68.9   117.7   133.6   290.0   416.8   526.8   604.0   685.5   784.5   912.2  1356.8 10317.4 32291.1  32337.9    32324
read      293.0   320.9    68.9   116.5   131.2   255.2   324.0   364.8   394.5   428.7   470.5   539.2   766.6  3588.1  9941.2  84213.5    84255
read      295.3   300.8    68.9   117.7   132.3   258.2   329.3   370.6   400.6   435.7   480.6   548.5   759.2  3065.8 11110.2  81717.6    81759
read      418.6   665.2    68.9   117.2   132.8   278.8   412.7   538.9   628.8   725.0   840.7   977.8  1343.2  8099.5 30912.6  37188.4    37291
read      323.8   445.0    68.9   117.1   132.0   266.8   342.6   388.2   421.6   460.3   513.2   625.3  1247.8  4435.5 15681.8  53720.6    53818
read      407.1   790.9    74.4   118.4   134.0   289.9   407.6   493.5   567.7   643.3   733.5   858.3  1341.2 10689.8 32025.8  30171.6    30297
read      422.0   748.6    68.9   118.6   134.6   297.1   440.2   557.7   621.4   689.7   777.3   898.8  1214.3 10169.0 31745.0  31650.0    31569
read      402.1   754.5    68.9   118.6   133.9   274.9   381.1   450.7   519.2   623.7   773.6   948.9  1448.9 10598.0 31941.7  39066.8    38927
read      390.2   958.3    74.4   135.1   159.1   311.8   374.6   407.7   430.1   459.4   508.8   586.3  1568.3 10060.2 32299.9  10672.4    10652
read      293.1   340.8    68.9   118.2   133.2   252.0   319.7   361.2   391.5   427.0   470.8   542.3   786.4  3456.9 10239.2  97884.6    98119
read      321.5   382.9    68.9   115.9   130.9   267.5   343.1   389.1   422.0   460.4   513.5   634.2  1181.4  4348.1 15358.3  48208.1    48176
read      372.3   304.3    68.9   116.7   132.3   273.5   397.8   495.2   583.1   673.7   775.2   889.2  1091.2  2688.6  7789.2  34958.0    34929
read      296.5   217.5    68.9   118.0   132.8   266.3   339.0   380.8   411.2   446.1   489.8   556.1   719.8  1777.0  7864.3  69687.5    69735
read      355.5   275.2    68.9   121.6   139.1   322.5   411.2   466.4   514.5   561.3   614.1   685.7   835.9  2789.8 10624.6  20800.9    20753
read      287.0   229.7    68.9   118.4   133.2   256.1   326.0   366.8   395.7   428.8   468.9   530.7   671.8  2003.4  8516.6  84636.2    84642
read      299.9   242.0    68.9   117.4   132.1   274.2   345.8   386.8   415.1   446.9   486.8   545.7   703.5  1864.3  9070.2  42282.0    42333
read      301.0   217.4    68.9   119.4   134.6   272.2   345.3   386.9   416.5   450.6   493.9   555.9   721.8  2008.9  7580.8  61576.1    61587
read      296.7   259.5    68.9   119.9   134.8   263.1   335.3   376.4   405.7   439.6   482.5   545.7   716.2  2582.9  8083.0  77968.4    77998
read      296.1   292.8    68.9   120.8   136.3   259.7   328.8   370.5   401.4   437.7   486.3   557.9   735.8  2560.5  9491.7  97656.1    97625
read      414.8   560.4    74.4   123.8   140.9   328.6   458.6   553.0   604.1   658.3   726.5   823.5  1237.4  7588.0 29647.4  23810.2    23781
read      303.0   262.0    68.9   120.7   136.1   268.5   341.2   382.9   413.1   447.5   491.3   556.9   789.5  2831.3  8098.4  66623.2    66723
read      381.5   413.4    68.9   122.3   139.1   296.7   404.8   472.4   540.2   626.8   733.7   873.5  1143.9  4779.7 12575.0  30976.2    31016
read      397.2   508.0    68.9   120.9   136.5   272.8   369.4   444.2   526.8   676.0   889.4  1084.6  1425.3  5393.8 18981.6  47483.6    47394
read      305.8   285.1    68.9   121.8   137.9   266.4   337.1   379.6   411.1   449.8   501.0   580.2   810.0  2944.3  9679.3  95387.1    95335
read      386.5  1192.3    86.8   167.1   196.0   290.4   328.4   350.3   366.3   385.9   412.7   467.2  2559.9 28808.9 36796.2   5271.4     5252
read      302.1   244.7    68.9   119.1   134.2   269.9   344.1   386.2   415.9   449.8   493.0   556.9   758.7  2569.3  7873.0  65887.9    65908
read      387.2   653.5    68.9   125.9   143.9   330.4   416.7   472.1   518.1   561.3   609.8   679.4   938.4  7524.2 31535.3  16866.5    16889
read      376.2   357.5    63.8   116.6   132.1   258.9   373.4   478.9   599.5   716.4   834.7   965.7  1159.2  2676.0 12215.3  42812.8    42912
read      292.6   299.2    68.9   119.1   134.3   253.1   321.1   362.2   392.4   428.1   473.7   548.0   776.4  3033.6  7987.0  99850.5    99898
read      443.4   919.5    68.9   120.2   137.4   321.4   454.9   556.5   615.4   677.0   753.9   862.8  1461.9 10745.6 32464.4  26273.6    26385
read      424.8   819.3    68.9   121.3   138.0   328.8   450.7   537.3   583.8   632.1   689.7   786.5  1207.7 10218.3 31519.6  22616.0    22616
read      331.2   419.7    68.9   116.8   131.4   264.2   341.7   390.4   425.8   467.9   533.7   756.4  1258.4  4660.2 12477.0  50422.4    50605
read      290.4   300.9    63.8   117.5   132.0   252.5   320.7   361.4   391.4   426.5   469.9   538.4   730.4  3209.9 11187.4  90527.5    90283
read      373.6   398.8    63.8   118.6   135.0   304.0   416.3   500.6   560.2   620.8   688.1   784.8   970.0  4470.4 12694.2  26355.8    26273
read      377.8   384.8    63.8   116.1   131.6   254.6   358.8   455.2   583.9   724.9   871.9  1018.4  1243.5  2372.8 11409.6  48402.2    48521
read      372.8   355.3    68.9   116.0   132.0   276.8   406.9   516.5   591.7   665.6   752.0   856.0  1032.2  3408.0 12737.8  34100.2    34058
read      289.1   225.1    63.8   116.4   131.2   257.9   327.3   367.2   396.6   430.4   470.7   535.9   718.2  2008.6  7665.1  75639.2    75648
read      377.4   661.2    74.4   120.5   137.9   318.0   407.1   462.8   509.9   556.6   608.2   682.3   908.1  8790.5 31488.4  19499.1    19482
read      384.1   772.4    68.9   122.1   140.7   317.5   397.5   441.1   479.5   526.3   574.0   637.2  1146.8  8546.0 31819.9  15078.9    15054
read      302.7   326.6    68.9   117.7   132.7   260.9   332.9   375.4   407.0   443.4   491.3   565.5   884.6  3455.4  9650.6  75819.5    75754
read      330.8   759.6    86.8   159.1   180.8   265.0   299.2   318.3   332.9   348.8   371.3   415.3  1661.0 11498.3 29998.7   5195.6     5187
read      373.9   290.5    74.4   127.3   148.2   327.8   418.3   475.2   532.7   588.2   650.5   742.7   913.3  3747.2  8783.0  17527.9    17656
read      298.1   280.8    68.9   119.8   135.3   259.0   328.8   370.8   402.1   439.3   488.5   564.7   780.3  2989.9  9580.8  96206.4    96343
read      413.4   587.9    68.9   120.4   136.7   285.4   405.1   504.8   605.2   732.9   857.3   996.6  1324.7  6866.0 28579.3  36658.1    36665
read      284.1   206.5    68.9   115.7   130.7   253.1   321.6   361.4   390.4   423.9   464.6   530.1   699.7  2105.5  6583.7  85150.6    85269
read      341.0   287.2    63.8   120.0   136.6   286.5   379.7   430.6   470.3   531.5   616.9   752.4   960.6  2436.0 12056.8  31451.2    31525
read      284.5   202.9    63.8   114.4   129.3   260.2   328.7   368.1   396.1   427.7   465.3   522.6   646.5  1333.1  8053.4  61768.4    61798
read      303.8   244.8    68.9   135.0   157.5   297.9   341.0   363.3   378.5   396.7   420.2   457.6   598.2  2743.0 10769.0  12318.4    12253
read      302.1   215.3    68.9   120.9   138.9   285.3   352.4   387.4   410.5   434.7   463.1   507.3   636.6  2487.3  8263.9  25584.4    25710
read      288.3   194.2    63.8   118.8   134.5   263.9   331.7   370.4   399.0   431.5   469.8   530.1   655.1  1164.3  7655.8  80042.4    79937
read      291.1   277.9    80.4   159.1   185.5   277.8   307.5   323.6   336.4   350.3   370.1   402.3   507.8  4060.7 10168.0   7229.4     7271
read      279.1   172.7    63.8   115.4   130.5   253.4   320.9   359.6   387.2   419.2   458.0   515.9   645.7  1279.0  6133.6  85921.6    85861
read      273.8   197.8    63.8   114.6   129.4   246.7   313.1   350.6   378.3   410.2   448.7   505.1   635.9  1424.1  6683.9  91574.8    91467
read      279.6   182.7    63.8   114.3   129.1   255.1   322.8   361.4   389.4   421.6   459.8   514.9   635.2  1185.0  6318.8  72365.5    72217
read      291.9   239.4    68.9   115.3   130.9   269.8   343.1   380.7   404.9   430.7   460.9   506.5   630.6  2279.4 10613.5  31002.8    31080
read      282.4   201.3    63.8   115.1   130.2   255.8   323.9   363.0   391.7   424.5   463.5   523.4   659.4  1552.2  7497.7  76854.4    76878
read      277.9   198.1    63.8   115.5   130.4   250.6   318.6   357.4   385.6   418.1   457.8   515.7   639.8  1280.6  8059.8  84638.0    84584
read      294.4   221.6    74.4   134.9   156.3   291.1   332.1   352.9   367.2   384.0   403.7   434.9   535.0  2930.7  9677.3  12579.6    12492
read      296.8   201.7    63.8   117.3   133.1   274.5   343.8   383.7   411.7   442.6   480.0   539.1   687.4  1408.9  7830.8  57060.1    57106
read      276.5   177.1    68.9   116.9   132.2   248.3   314.3   352.5   381.0   414.2   454.6   514.4   641.6  1614.8  5975.3  96351.2    96245
read      287.9   307.3    80.4   162.3   188.2   270.4   298.6   314.5   325.6   339.3   357.2   387.4   487.2  5594.0 12446.9   6813.4     6791
read      277.6   192.7    63.8   115.5   130.4   250.7   317.6   356.1   384.0   416.2   455.5   512.3   639.9  1582.9  7650.4  90570.6    90728
read      282.1   334.3    86.8   168.5   192.2   263.3   288.7   303.2   314.2   327.3   344.3   373.9   479.4  5518.9 13840.6   5131.2     5151
read      284.0   198.9    68.9   117.0   132.1   257.4   326.0   365.1   393.0   425.0   463.2   520.2   647.0  1908.0  7720.6  82944.5    82969
read      289.3   195.8    68.9   114.1   129.2   265.1   337.5   379.8   408.2   438.5   472.7   527.3   649.4  1241.1  8041.0  42644.9    42635
read      276.7   184.5    63.8   116.2   131.3   248.3   313.9   352.3   381.2   414.6   456.1   519.3   653.4  1275.4  6051.5  99267.4    99337
read      277.8   182.0    63.8   115.6   130.8   248.7   316.0   355.7   384.5   418.1   459.1   521.2   656.4  1328.9  7199.7  95275.5    95192
read      287.4   222.4    63.8   115.3   130.3   260.7   330.5   369.9   398.4   431.2   469.9   532.7   672.7  1636.1  8690.9  69216.5    69200
read      292.5   210.8    63.8   114.5   129.8   267.4   338.4   379.7   408.4   439.6   476.3   537.0   676.1  1763.1  8504.8  49384.1    49459
read      294.8   567.6    63.8   117.0   132.9   271.4   344.5   381.4   405.2   429.7   458.6   502.5   616.1  1618.5 14706.4  29061.5    29055
read      284.3   207.3    63.8   114.4   129.3   260.2   328.9   368.1   396.2   427.9   464.7   521.2   641.6  1376.3  8084.6  64421.8    64324
read      281.8   253.8    86.8   166.5   191.4   268.2   294.9   310.2   320.1   334.4   351.2   382.5   493.8  3878.0 12297.8   5729.6     5705
read      286.0   192.9    63.8   118.1   133.2   259.1   328.0   367.3   395.7   428.2   467.4   528.2   663.4  1537.2  7755.2  84558.5    84816
read      294.5   217.5    68.9   119.2   135.5   280.3   350.2   383.5   404.8   427.8   455.2   496.7   607.2  1550.8  8717.7  23753.8    23714
read      280.8   204.6    68.9   114.7   129.8   256.3   323.5   361.8   389.2   420.6   457.7   510.8   633.7  1552.0  7625.3  74175.5    74116
read      292.9   254.5    68.9   121.3   138.5   283.6   345.3   373.9   392.6   412.8   435.5   470.8   578.7  1852.7 12282.7  19926.0    19948
read      287.9   181.9    68.9   114.0   129.0   264.1   335.0   375.7   404.2   435.4   470.0   525.2   652.1  1287.0  5741.8  44181.4    44213
read      301.1   272.5    68.9   122.6   140.3   290.2   353.8   383.3   401.8   422.7   447.5   486.5   605.9  3372.7 10817.5  19529.4    19454
read      292.4   338.4    74.4   158.3   185.0   276.7   306.8   322.3   335.2   348.7   368.3   398.1   489.6  4737.6 15814.8   7194.8     7190
read      314.5   238.8    68.9   121.1   138.5   291.7   363.0   403.2   431.8   462.9   502.4   565.8   722.6  2053.3  8571.7  47535.1    47657
read      304.0   202.6    68.9   118.5   135.0   284.0   352.9   392.2   419.7   450.1   486.9   544.9   693.0  1324.1  7849.4  44613.5    44399
read      290.0   347.5    74.4   162.3   188.7   271.7   300.6   316.8   329.3   343.8   364.6   397.3   495.8  4812.2 15305.9   6500.5     6481
read      286.2   336.7    80.4   163.5   188.8   267.3   293.5   309.0   319.4   334.7   353.7   386.6   489.9  5992.5 12590.0   5851.5     5807
read      287.0   200.1    63.8   118.8   134.5   259.4   328.0   367.9   396.9   430.4   470.8   533.8   668.6  1482.1  6420.9  83025.4    83137
read      294.6   242.6    80.4   147.0   171.8   286.5   323.9   343.8   358.4   373.8   395.9   428.7   514.3  2795.9 10008.5   9554.9     9580
read      307.3   203.8    74.4   121.3   138.7   287.3   356.9   396.4   423.6   453.1   488.9   545.0   684.4  1246.8  7604.0  37203.9    37385
read      303.0   191.0    68.9   120.0   137.2   284.5   353.9   392.9   418.8   446.3   477.8   529.8   646.5  1360.6  7783.9  33905.9    33706
read      305.9   256.2    74.4   120.0   137.5   285.5   355.5   394.6   421.2   450.0   484.1   537.1   661.7  1474.0  9657.4  35170.8    35204
read      312.0   235.5    68.9   120.4   137.3   287.4   361.9   402.5   430.6   462.1   503.0   567.7   727.7  1595.9  9178.8  50428.2    50438
read      299.1   198.6    68.9   117.0   133.1   275.8   348.3   390.3   419.0   450.0   486.9   544.1   673.7  1269.2  7568.0  48880.1    48878
read      300.0   221.9    68.9   116.3   132.3   275.5   347.9   390.0   418.7   449.5   485.7   541.3   677.5  1578.0  8776.5  42631.9    42682

Total QPS = 50024.7 (60029584 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 14827307248 bytes :   11.8 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.95%,48.99%,100.00%
