Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1684933823632
Timestamp end: 1684935024134

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      292.4   293.6    68.9   119.4   134.7   252.6   321.1   361.3   390.8   425.9   469.0   540.4   800.2  3024.3  9374.6  93627.9    93552
read      291.2   332.1    68.9   116.4   131.1   259.9   328.3   366.2   393.8   426.4   464.4   522.8   691.2  2875.9 12289.3  65852.4    65694
read      417.4   749.6    68.9   116.6   132.9   294.8   434.2   557.3   616.6   675.8   745.5   856.0  1210.9 10007.7 31347.5  29479.5    29574
read      328.7   498.9    68.9   115.6   130.4   266.1   340.1   385.8   420.1   459.6   517.1   686.7  1262.2  5670.9 21568.1  51344.9    51355
read      295.7   260.4    68.9   116.3   131.0   262.6   332.1   371.3   400.1   434.0   473.1   539.5   804.2  2959.5 10255.1  67412.0    67361
read      447.7  1233.3    68.9   122.1   140.4   322.1   407.3   458.1   501.5   556.4   611.7   688.8  2899.4 20088.3 33026.8  16292.8    16287
read      288.6   326.2    68.9   115.5   129.7   252.4   320.2   359.3   387.5   419.9   458.7   516.2   736.7  3760.0 12096.2  81414.9    81508
read      282.0   271.5    68.9   115.9   130.3   250.3   317.6   356.6   385.0   418.6   459.0   517.5   677.1  2284.6  9068.7  87786.1    87619
read      287.6   279.8    68.9   117.2   132.2   251.2   318.0   358.2   388.0   423.1   466.2   534.9   722.5  2919.7  9712.9  99001.1    99068
read      313.8   420.0    63.8   115.2   129.9   263.2   335.1   377.8   410.1   447.3   492.5   578.7  1173.1  4511.3 12792.0  51266.4    51267
read      389.2   839.9    74.4   132.0   155.0   323.2   391.2   427.6   452.2   482.4   539.3   619.9  1360.6  9932.6 33590.5  11865.4    11822
read      289.4   348.8    68.9   116.6   131.6   249.6   316.5   356.5   386.0   420.7   463.2   530.3   741.0  3491.4 12614.8  97462.8    97494
read      288.3   278.2    68.9   117.5   132.4   252.7   319.9   360.8   391.1   427.1   470.6   540.7   716.4  2880.6  7956.9  97471.2    97350
read      299.4   349.6    68.9   115.3   130.0   266.7   336.8   377.7   407.6   441.2   479.9   540.8   741.4  3082.7 11037.2  55494.1    55460
read      284.9   266.5    68.9   116.0   130.3   251.6   319.6   359.0   387.6   421.2   461.2   520.6   684.9  2901.6  8438.5  85963.0    85984
read      294.0   309.1    68.9   117.2   131.9   258.8   328.9   369.4   399.0   433.4   474.1   539.9   740.4  3240.6  8980.4  82297.2    82043
read      333.6   505.9    68.9   115.9   130.8   266.6   342.7   390.8   426.2   466.5   528.4   718.3  1316.9  4811.7 22113.1  52806.4    52873
read      403.2   938.3    74.4   126.3   146.8   325.8   399.0   438.3   464.7   503.8   558.4   627.9  1445.0 11064.1 32356.0  13841.5    13911
read      346.8   448.7    68.9   118.9   134.4   276.4   356.8   406.0   442.5   486.1   553.4   776.0  1385.6  5339.9 13681.2  50046.4    49984
read      390.1  1008.5    80.4   141.7   168.8   309.6   365.7   395.7   416.9   441.2   472.0   554.5  1687.3 10966.7 32163.6   9235.5     9274
read      449.3   970.5    68.9   119.0   136.1   311.7   447.5   563.3   624.8   684.9   757.1   866.1  1617.1 12218.1 35311.9  27097.8    27187
read      425.1   923.1    68.9   122.3   140.3   332.0   432.5   502.8   556.4   603.2   654.9   736.4  1627.8 11646.7 32228.1  18777.4    18735
read      295.0   326.0    68.9   117.3   131.8   255.1   323.4   363.8   393.4   428.8   470.9   538.6   808.6  3387.6 10465.1  86187.4    86505
read      284.4   270.0    63.8   116.4   131.1   250.1   317.9   357.1   386.3   420.4   461.4   523.6   693.2  2755.3  8664.0  93151.0    93039
read      294.6   276.6    63.8   117.0   131.5   259.9   330.6   370.9   400.3   434.9   475.7   539.1   726.6  3176.0  8618.8  75798.0    75999
read      429.4   686.5    68.9   119.5   136.2   302.0   449.4   573.7   643.1   717.3   808.4   935.8  1330.9  8446.2 31790.1  32295.9    32324
read      297.5   322.4    68.9   118.7   133.6   258.9   328.4   369.1   399.0   434.7   479.3   549.2   787.4  3315.2 10482.7  84149.6    84255
read      290.2   257.2    68.9   117.6   132.1   256.7   326.7   367.0   396.1   430.1   470.3   533.4   722.5  2654.7  7412.1  81808.0    81759
