Random waveform, random seed
Total number of intervals = 120 (88566, 49865, 10663, 89182, 48455, 63173, 40348, 40421, 34648, 7586, 50938, 79501, 93528, 34272, 58252, 78313, 70420, 33734, 33657, 65533, 84931, 48915, 89407, 36541, 88960, 23519, 34064, 72288, 85043, 27784, 68345, 26643, 95038, 47337, 81381, 54725, 85952, 18909, 75425, 85917, 97559, 46587, 9603, 45611, 57011, 21202, 42675, 11790, 28706, 87138, 91510, 35301, 53342, 17750, 62229, 42704, 27772, 56616, 42540, 15612, 51727, 42728, 54114, 72151, 59288, 8843, 97648, 23107, 41830, 55423, 35633, 36982, 91842, 18840, 42962, 91945, 26726, 63523, 18930, 39781, 14923, 62160, 12689, 35927, 28794, 47717, 12564, 28191, 83378, 78222, 65324, 84281, 55373, 50503, 90271, 16801, 85051, 74543, 80337, 70947, 65853, 41091, 79237, 14213, 88402, 50454, 26235, 75429, 44823, 16551, 62156, 50248, 73025, 22411, 18343, 50874, 48453, 20006, 69859, 23492)
Average QPS expected = 51571
Timestamp start: 1684430108987
Timestamp end: 1684431309398

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      469.5   517.0   160.7   216.9   229.9   354.0   457.5   530.1   593.6   690.4   826.5   961.9  1603.9  6139.3 17371.5  54770.3    54725
read      463.1   554.4   160.7   221.9   236.3   334.1   391.2   436.9   485.0   564.7   758.7   991.9  2259.1  5370.0 16944.1  85823.0    85952
read      512.5   900.4   160.7   220.5   235.2   412.0   516.1   583.0   629.3   682.1   744.2   843.5  1942.6 12211.4 35823.6  19014.4    18909
read      416.2   370.8   160.7   213.7   226.5   327.7   402.2   457.2   503.8   572.1   687.9   917.9  1483.0  3895.1 11651.3  75643.2    75425
read      450.6   509.7   160.7   221.0   234.7   330.3   388.9   436.0   485.6   562.6   736.9   989.2  2029.0  5562.1 16010.7  85952.9    85917
read      428.4   495.5   160.7   220.8   234.1   326.1   375.5   410.0   440.0   485.1   571.6   962.1  1990.7  5039.7 17705.3  97715.1    97559
read      478.2   546.9   160.7   218.6   231.9   374.4   475.4   543.3   604.3   686.0   790.5   981.3  1771.0  6525.4 23458.3  46505.9    46587
read      482.0   889.6   173.5   229.1   248.6   412.1   479.4   513.4   537.6   565.7   601.1   669.2  1780.9  9252.4 32210.3   9605.7     9603
read      477.5   590.7   160.7   216.5   229.9   372.5   476.9   546.3   610.0   697.9   810.9   999.1  1484.6  8297.9 29950.9  45662.3    45611
read      460.1   483.6   160.7   215.9   228.9   350.7   452.0   522.9   583.9   674.9   808.9   946.9  1564.2  4689.7 18274.6  57001.4    57011
read      482.6   661.9   160.7   219.1   233.3   404.7   506.3   570.9   617.7   668.4   730.1   816.8  1250.6  9216.8 30513.2  21190.7    21202
read      473.6   532.9   160.7   214.9   228.3   373.3   481.1   551.0   614.9   700.9   809.1   991.7  1431.5  7660.6 22343.3  42765.3    42675
read      485.2   868.5   160.7   223.2   239.9   406.2   483.1   523.3   549.5   582.6   623.9   691.2  2079.0 12162.4 31655.7  11849.8    11790
read      481.2   646.9   160.7   218.0   231.7   395.8   495.8   561.1   618.1   686.3   771.2   889.1  1278.8  8373.3 31228.6  28680.3    28706
read      456.1   568.9   160.7   220.3   233.6   331.2   384.1   426.3   467.4   540.0   748.2  1439.9  1995.6  4425.9 14485.0  87197.4    87138
read      436.3   472.6   160.7   219.0   231.4   322.2   375.9   418.3   458.2   521.1   678.7   976.7  1944.8  4814.1 13059.0  91337.7    91510
read      477.6   590.8   160.7   216.7   230.2   384.8   489.6   554.7   615.5   692.5   791.7   944.3  1373.5  8692.2 27984.7  35370.1    35301
read      462.9   492.8   160.7   214.7   227.6   353.3   458.8   531.1   592.8   683.3   816.2   961.8  1547.4  4863.5 18615.5  53150.8    53342
read      447.5   401.3   160.7   225.1   242.8   411.1   500.2   544.8   577.4   614.3   659.9   734.0   916.1  4451.0 15781.9  17810.3    17750
read      437.1   289.9   148.8   218.8   232.5   358.7   451.9   515.9   569.2   638.7   738.0   905.6  1340.5  2174.1  9150.5  62316.2    62229
read      453.6   308.5   160.7   221.2   236.8   392.8   492.4   551.0   599.2   659.8   741.9   872.0  1214.5  2728.9 11435.8  42725.4    42704
read      445.2   258.2   160.7   224.8   243.0   403.2   493.7   546.2   588.3   636.9   697.2   786.7   982.7  2682.5  9207.5  27847.2    27772
read      439.7   301.0   160.7   217.6   231.6   358.4   455.4   521.1   575.1   645.7   751.0   926.3  1349.4  2022.1  9138.0  56594.7    56616
read      441.7   277.6   160.7   218.3   232.7   386.1   482.3   539.0   582.9   637.4   717.1   846.4  1162.7  2070.3  8876.7  42524.9    42540
read      449.0   283.8   160.7   231.3   250.1   426.4   508.5   549.2   580.1   615.5   660.1   730.8   881.4  3701.0 10815.4  15571.9    15612
read      441.2   289.3   160.7   218.9   233.1   374.0   472.6   533.6   581.6   641.2   728.8   872.5  1233.1  2021.1  9323.4  51596.4    51727
read      450.9   298.3   160.7   219.9   234.5   388.5   488.7   547.4   595.5   658.0   743.6   882.1  1241.9  2001.7 11174.4  42885.8    42728
read      442.6   315.3   160.7   217.1   231.0   363.3   465.2   531.0   583.0   649.4   744.7   913.8  1348.8  2062.6 12254.8  54126.9    54114
