#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      418.1   195.7   187.4   273.0   302.1   402.0   440.8   464.6   483.2   505.6   540.2   593.8   725.5  1558.8 11529.6   4969.6     5000              0  1683665555220
read      421.4   137.9   173.5   252.4   277.5   412.9   457.1   481.8   500.7   525.1   557.5   619.1   775.6  1302.4  4043.0  10085.4    10000              0  1683665561750
read      419.3   145.6   173.5   244.0   266.0   412.8   463.6   491.3   510.1   536.4   570.2   625.9   767.7  1452.4  5333.7  15016.2    15000              0  1683665568280
read      419.2   191.4   173.5   239.3   258.7   407.2   470.4   502.0   524.5   548.8   585.3   639.0   772.3  1378.2  3492.8  19971.2    20000              0  1683665574810
read      411.4   151.8   173.5   236.4   253.9   394.0   465.2   499.3   522.9   548.6   584.5   638.7   786.6  1294.6  3730.5  24827.2    25000              0  1683665581343
read      407.9   165.4   173.5   236.1   253.0   384.7   458.8   496.3   522.0   550.1   588.3   643.1   783.2  1171.4  3489.9  30038.0    30000              0  1683665587875
read      398.1   169.7   160.7   233.5   249.9   370.5   442.9   482.8   508.7   538.6   575.2   630.3   768.3  1608.0  3716.1  35017.4    35000              0  1683665594398
read      389.8   154.9   173.5   231.0   246.8   360.8   430.9   470.7   498.9   530.1   567.2   622.6   747.6  1629.2  3475.9  39951.4    40000              0  1683665600926
read      381.8   465.5   160.7   228.1   243.3   351.0   419.8   459.9   487.8   518.4   553.8   610.6   740.4  1289.4  3638.0  44725.4    45000              0  1683665607459
read      369.2   152.8   160.7   224.6   238.6   331.8   397.7   441.9   473.8   508.6   548.2   607.7   741.1  1562.3  4049.1  49936.0    50000              0  1683665613979
read      366.6   170.1   160.7   225.6   239.8   329.2   391.7   433.6   465.1   500.4   541.7   599.3   731.7  1657.9  6047.4  55119.8    55000              0  1683665620510
read      356.5   140.1   160.7   223.0   236.4   319.6   377.7   419.7   452.0   488.0   529.3   586.3   716.9  1292.4  3514.5  59958.8    60000              0  1683665627038
read      349.1   140.0   160.7   221.4   234.0   314.4   368.3   405.4   436.2   473.3   516.3   575.0   697.8  1081.1  3660.5  65137.8    65000              0  1683665633561
read      349.6   141.0   160.7   223.0   236.5   315.4   366.6   401.9   431.9   467.9   510.8   574.1   707.1  1364.9  3829.6  70045.8    70000              0  1683665640081
read      339.9   137.4   160.7   221.4   233.7   307.7   354.8   388.4   416.1   451.1   494.3   552.1   686.5  1168.2  3529.2  74897.2    75000              0  1683665646612
read      334.1   130.4   160.7   220.3   231.8   303.5   347.3   379.2   404.6   438.7   481.0   538.7   670.4  1185.0  3983.6  79926.4    80000              0  1683665653148
read      329.2   143.1   160.7   219.6   230.6   300.0   341.1   369.2   393.0   423.8   465.0   524.1   644.6  1680.3  5609.8  84913.0    85000              0  1683665659683
read      328.8   158.6   160.7   220.5   231.9   301.6   341.4   367.8   389.8   418.3   456.9   512.5   641.7  1586.7  5921.7  90119.1    90000              0  1683665666233
read      327.8   140.5   160.7   221.1   232.8   300.9   340.3   366.6   388.1   415.6   453.6   510.6   646.8  1587.2  6219.3  95135.8    95000              0  1683665672768
read      322.3   135.9   160.7   219.9   230.9   297.4   335.0   359.2   378.1   403.4   439.5   497.0   631.7  1440.0  4357.8 100073.6   100000              0  1683665679293
read      316.0   131.1   160.7   218.7   229.1   294.5   330.0   351.7   369.2   392.1   424.0   474.6   594.4  1258.5  5407.4 105145.8   105000              0  1683665685828
read      321.6   157.5   160.7   220.4   231.7   297.9   334.5   357.7   374.8   398.5   429.7   479.7   616.2  1752.8  5690.4 109955.8   110000              0  1683665692352
read      320.2   138.4   160.7   219.8   230.8   297.9   335.5   358.9   376.0   398.8   429.5   480.4   627.5  1210.9  4248.1 114748.2   115000              0  1683665698883
read      315.4   142.7   160.7   220.5   232.0   296.3   328.7   347.7   364.3   384.1   411.5   458.6   588.5  1476.8  5561.9 119967.2   120000              0  1683665705401
read      316.7   130.1   160.7   221.4   233.4   298.8   331.5   350.7   366.4   385.6   411.0   455.8   584.5  1457.8  5145.2 125133.1   125000              0  1683665711928
CPU Usage Stats (avg/min/max): 39.24%,2.00%,64.97%
