#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      418.0   150.4   187.4   265.4   290.2   408.1   450.1   473.5   491.9   510.8   540.3   590.3   735.6  1432.5  6855.3   4949.8     5000  1683667500300  1683667505324
read      430.6   192.4   173.5   251.2   275.4   421.9   472.6   499.6   518.6   540.6   571.0   621.2   784.8  2691.3  8150.4   9965.6    10000  1683667506846  1683667511868
read      421.9   161.7   173.5   237.7   259.3   415.4   476.2   506.1   527.5   549.4   583.2   632.9   770.0  1270.1  5913.4  14936.2    15000  1683667513388  1683667518405
read      419.7   159.5   160.7   231.5   251.2   404.1   481.6   517.3   540.1   566.6   597.0   642.8   774.2  1594.6  3705.0  19959.4    20000  1683667519915  1683667524933
read      411.1   181.9   160.7   227.3   245.1   386.4   469.1   510.0   536.0   564.6   597.4   645.3   791.2  1712.6  5084.9  24928.5    25000  1683667526455  1683667531473
read      404.3   159.0   160.7   226.8   243.5   374.9   460.1   505.9   534.2   564.6   599.7   651.2   771.2  1204.6  2882.4  29982.8    30000  1683667532991  1683667538009
read      398.5   157.1   160.7   224.2   240.1   364.3   447.9   496.8   528.3   561.5   598.9   653.2   785.1  1578.0  2751.3  35078.5    35000  1683667539531  1683667544548
read      394.2   168.3   160.7   222.3   237.5   356.6   437.1   488.7   522.8   558.5   599.0   656.7   795.5  1501.2  3670.9  39932.0    40000  1683667546071  1683667551090
read      384.1   161.6   160.7   221.2   235.9   345.6   422.8   471.8   506.5   543.4   586.0   640.9   760.9  1388.6  4628.4  44864.4    45000  1683667552601  1683667557619
read      377.2   174.0   160.7   219.8   233.1   331.6   406.1   459.3   497.5   539.2   584.4   644.2   787.8  1532.7  6334.0  49967.4    50000  1683667559139  1683667564157
read      365.4   167.1   160.7   218.0   230.4   321.3   389.1   436.8   476.1   518.5   564.1   626.1   760.3  1450.6  5760.6  55006.8    55000  1683667565677  1683667570694
read      354.7   146.8   160.7   216.3   228.5   313.5   374.4   420.0   456.0   497.1   543.6   605.5   734.4  1507.6  3399.3  60153.0    60000  1683667572217  1683667577234
read      351.0   165.8   160.7   215.7   228.0   307.6   363.9   406.8   445.4   491.4   541.8   606.5   733.8  1552.4  5782.4  65029.8    65000  1683667578743  1683667583760
read      347.0   172.5   160.7   215.8   227.7   305.1   359.3   400.1   435.2   479.0   529.6   595.1   740.5  1473.1  5086.1  69848.0    70000  1683667585283  1683667590301
read      339.4   158.8   160.7   216.3   228.1   301.5   349.2   385.6   416.9   457.9   507.6   574.4   704.3  1466.5  6233.0  74985.0    75000  1683667591824  1683667596842
read      330.8   349.0   160.7   213.7   225.7   296.7   342.9   376.1   404.3   442.5   490.4   550.1   667.1  1145.8  2730.1  79989.6    80000  1683667598356  1683667603373
read      330.4   351.1   160.7   215.1   226.8   296.3   339.6   370.6   397.3   432.5   480.3   545.6   680.9  1583.4  4359.3  85038.8    85000  1683667604896  1683667609913
read      328.2   462.5   160.7   215.0   226.8   295.8   337.4   366.5   391.2   423.9   468.0   531.9   664.4  1603.3  5519.3  89954.0    90000  1683667611436  1683667616453
read      320.3   132.2   160.7   213.8   225.5   291.4   330.4   357.8   380.3   411.0   454.3   514.1   647.7  1498.8  3176.2  94817.4    95000  1683667617964  1683667622982
read      317.3   142.0   160.7   214.2   225.7   290.4   326.6   351.4   372.1   400.2   439.8   500.4   636.9  1532.2  5229.2 100143.4   100000  1683667624503  1683667629521
read      316.7   181.0   160.7   213.6   225.1   289.0   324.3   348.0   368.7   395.5   432.8   491.9   634.1  2018.6  8688.2 104899.4   105000  1683667631033  1683667636064
read      312.3   133.2   160.7   213.0   224.6   288.0   321.5   344.3   363.6   388.1   423.5   478.8   619.4  1840.3  4852.5 109835.6   110000  1683667637574  1683667642599
read      311.2   162.1   160.7   213.3   225.1   288.4   320.9   342.9   360.8   383.0   415.3   467.4   607.6  1582.5  6285.3 114816.4   115000  1683667644112  1683667649129
read      312.7   140.2   160.7   214.0   225.7   289.9   323.4   345.1   363.5   385.9   417.1   468.1   616.9  1601.6  5724.3 119967.3   120000  1683667650652  1683667655670
read      314.9   151.0   160.7   215.8   227.5   293.6   327.1   347.2   364.6   385.5   414.7   464.8   622.9  1613.8  5880.7 124864.6   125000  1683667657193  1683667662212
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 60.35%,3.02%,100.00%
