#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      418.6   205.2   187.4   273.2   301.4   402.5   441.6   464.5   482.7   505.1   537.8   589.4   713.2  2877.2  8081.6   4954.8     5000  1683666130821  1683666135833
read      420.1   165.1   187.4   253.2   279.6   415.2   458.3   482.0   499.9   522.3   550.5   600.7   732.3  1071.2  9064.4  10101.8    10000  1683666137360  1683666142371
read      418.4   145.7   173.5   243.9   265.2   413.5   467.6   496.1   515.7   539.2   570.6   621.6   741.1  1086.4  5608.9  15058.6    15000  1683666143882  1683666148892
read      413.3   150.5   173.5   238.4   257.6   401.9   464.3   495.0   516.1   541.8   576.6   632.3   769.8  1556.8  3920.3  20007.2    20000  1683666150412  1683666155422
read      416.0   166.5   173.5   239.9   258.5   398.2   468.1   502.3   526.6   552.9   588.7   642.8   791.0  1471.5  4159.3  24923.4    25000  1683666156944  1683666161954
read      412.9   171.6   173.5   237.5   255.2   385.5   464.1   503.4   529.6   558.2   593.5   653.8   800.1  1859.7  4653.9  29954.4    30000  1683666163525  1683666168535
read      396.6   181.5   173.5   231.8   248.4   367.4   443.6   483.7   510.4   539.2   575.1   629.4   754.0  1461.8  7560.8  34939.4    35000  1683666170056  1683666175066
read      390.4   174.9   173.5   229.4   245.0   358.8   433.3   475.7   503.0   533.6   571.7   630.0   769.5  1304.0  3837.0  40001.8    40000  1683666176584  1683666181594
read      385.1   188.6   160.7   227.5   242.6   345.0   418.4   464.1   495.2   529.2   570.1   630.6   777.9  2415.9  6222.1  44989.0    45000  1683666183117  1683666188127
read      373.8   144.7   160.7   226.7   241.4   338.3   404.4   448.5   479.4   513.3   552.5   612.5   744.5  1249.8  2807.6  50022.4    50000  1683666189643  1683666194653
read      376.7   193.8   160.7   226.9   241.4   333.3   397.6   442.0   474.2   510.4   554.1   620.9   828.2  2406.5  5096.8  54889.2    55000  1683666196177  1683666201186
read      360.3   144.0   160.7   224.9   238.8   323.7   382.2   422.6   453.6   489.3   531.6   590.3   737.1  1393.5  3692.4  60008.6    60000  1683666202709  1683666207718
read      358.0   169.4   160.7   223.4   237.0   318.1   373.5   413.5   445.0   481.6   525.9   589.5   778.5  1885.4  6263.8  64843.2    65000  1683666209241  1683666214251
read      347.6   162.3   160.7   222.6   235.9   313.4   363.4   398.2   427.1   462.4   503.9   564.6   698.4  1647.1  5674.0  70104.2    70000  1683666215766  1683666220776
read      338.9   134.5   160.7   220.8   232.6   306.3   353.8   388.0   415.6   450.4   493.0   549.3   681.3  1246.3  3511.0  74841.1    75000  1683666222290  1683666227299
read      333.4   138.9   160.7   220.0   231.2   302.7   346.5   377.9   403.0   435.6   476.5   535.2   664.3  1451.3  4255.8  80163.5    80000  1683666228840  1683666233849
read      332.9   135.1   160.7   221.3   233.4   304.8   346.1   374.9   399.1   429.6   468.5   528.4   665.3  1280.2  4937.8  85048.6    85000  1683666235367  1683666240377
read      323.0   154.2   160.7   219.8   230.7   297.1   335.3   360.9   381.7   409.0   446.7   501.5   617.7  1349.5  6977.3  90033.6    90000  1683666241896  1683666246906
read      322.8   124.6   160.7   220.7   232.2   298.5   335.6   360.1   379.4   404.9   441.7   497.2   623.6  1492.2  4582.6  95041.0    95000  1683666248426  1683666253438
read      325.2   148.5   160.7   220.8   232.6   300.9   338.5   363.2   382.9   407.5   442.6   495.8   629.0  1554.1  4694.9  99702.0   100000  1683666254953  1683666259963
read      317.3   153.1   160.7   219.6   230.4   294.8   329.2   351.0   369.2   392.9   425.2   475.3   600.2  1720.3  6221.7 105003.0   105000  1683666261483  1683666266493
read      316.4   155.7   160.7   220.2   231.3   295.4   328.4   348.6   366.3   388.2   418.4   466.5   594.9  1446.1  6876.6 109923.4   110000  1683666268017  1683666273028
read      322.0   141.2   160.7   222.8   235.8   302.0   336.1   357.2   373.0   394.7   423.7   469.9   599.9  1613.8  5812.8 115363.4   115000  1683666274538  1683666279548
read      314.7   162.1   160.7   220.6   232.0   295.6   327.1   345.9   362.1   381.1   407.8   455.1   577.1  1689.9  8862.3 119747.2   120000  1683666281074  1683666286083
read      312.9   135.0   160.7   220.8   232.5   295.7   326.6   344.9   360.6   378.6   403.7   449.1   570.8  1453.8  4534.9 125141.2   125000  1683666287605  1683666292615
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 57.04%,1.51%,100.00%
