Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684493277675
Timestamp end: 1684494478102

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      406.9   357.7   173.5   236.8   259.9   386.0   431.8   456.2   472.2   494.1   520.1   563.1   724.6  5102.5 14260.5   7441.9     7434
read      344.3   248.7   160.7   208.7   220.8   301.4   357.7   395.5   425.9   462.6   505.8   571.9   772.9  2689.4  8694.0  67028.7    67201
read      384.8   379.2   160.7   218.9   231.6   333.2   398.0   437.1   467.8   506.1   560.5   657.4   986.1  3957.8 15605.0  85727.8    85927
read      345.2   188.6   160.7   211.2   224.3   314.7   371.2   406.2   433.5   465.1   503.0   556.5   677.9  1310.1  8689.9  64004.6    63953
read      469.1   724.0   160.7   215.2   230.0   380.8   477.6   541.5   592.4   648.7   715.7   819.2  1355.7 10397.2 31961.8  31571.8    31595
read      344.4   320.1   160.7   210.5   222.6   297.5   345.2   376.7   401.7   434.3   478.0   547.0  1143.7  3307.4 11074.2  87973.4    87879
read      497.4  1206.1   173.5   234.0   256.8   397.7   450.4   476.9   496.8   520.5   551.7   621.5  2779.1 24240.0 39203.2   7330.2     7287
read      363.4   288.5   160.7   211.5   223.8   307.8   369.7   415.1   451.4   494.1   544.9   627.3  1030.4  3085.0 10802.7  62202.8    62295
read      533.4  1491.9   173.5   237.7   262.7   397.3   447.1   472.4   491.7   512.0   543.6   608.5  3817.9 28977.2 37869.0   6526.2     6561
read      471.4   796.8   160.7   214.1   228.8   383.6   485.2   544.8   585.4   627.8   678.1   755.2  1363.3 10828.4 31876.5  22443.0    22532
read      428.0   566.2   160.7   210.0   223.3   332.7   420.6   480.6   529.9   594.8   691.8   868.5  1433.7  6688.5 28717.8  60637.2    60653
read      405.4   391.4   160.7   212.2   225.2   327.3   406.2   461.7   504.4   557.5   634.7   800.7  1331.4  4004.9 17708.9  58977.8    59076
read      387.0   402.3   148.8   211.2   223.8   314.0   382.6   432.5   471.2   518.0   579.5   717.2  1339.4  4291.0 13562.0  60238.7    60154
read      459.2   675.8   160.7   214.1   228.8   385.1   481.5   540.4   580.7   623.8   675.6   753.8  1246.9  7752.1 31062.8  22918.8    22964
read      502.5  1185.4   173.5   230.4   251.3   398.8   453.6   481.2   500.8   525.1   555.7   622.9  3321.9 21813.2 36393.0   8139.3     8172
read      479.8   839.2   160.7   214.6   229.4   382.0   478.1   542.1   590.2   641.3   704.3   804.7  1545.9 11321.4 32360.1  27678.5    27652
read      468.2   757.3   160.7   212.6   227.0   375.5   470.6   535.6   588.2   651.3   727.0   858.5  1326.4 10245.8 31756.4  37759.3    37594
read      474.3   828.7   160.7   212.5   227.4   380.5   479.6   542.1   585.2   630.5   683.7   767.2  1423.4 10909.8 32019.5  24313.1    24367
read      486.7   816.1   160.7   214.0   228.7   381.9   480.2   545.5   598.5   659.9   734.0   860.0  1632.6 10823.4 31964.8  33771.4    33771
read      344.8   301.7   160.7   210.5   222.6   298.3   348.0   381.7   408.0   442.3   488.3   562.1   982.8  3272.4 11419.4  84854.1    84944
read      338.0   341.8   160.7   210.4   222.4   296.9   345.3   377.3   402.7   435.1   478.0   542.3   742.0  3184.2 12421.6  85663.5    85666
read      458.1   593.1   160.7   215.1   229.0   363.2   460.1   523.3   575.5   641.5   732.7   897.6  1465.7  8417.9 28808.0  51960.8    51918
read      418.9   247.7   160.7   218.0   234.4   380.5   463.8   516.8   555.2   598.0   647.3   719.1   886.3  1991.4  9931.0  34512.2    34406
read      417.4   264.6   160.7   218.8   234.8   378.1   464.0   516.4   553.4   593.1   637.6   703.1   864.8  2320.7 11541.6  28769.9    28664
read      420.5   218.0   160.7   216.9   233.0   381.6   464.9   517.4   557.2   604.3   659.1   736.3   939.0  1710.8  7337.0  38213.2    38289
read      418.2   517.9   160.7   220.6   237.5   384.3   475.3   522.2   551.6   583.6   622.0   679.0   829.5  3378.5  9734.7  20777.3    20658
read      418.0   315.3   160.7   225.1   243.1   401.0   470.7   503.8   526.1   549.1   582.3   631.9   761.5  3875.0 12241.3  13820.3    13840
read      348.3   335.4   160.7   212.0   224.4   305.7   357.0   389.2   414.2   446.1   489.8   563.7   843.9  3709.4 12448.8  93385.0    93419
read      335.5   256.1   160.7   210.8   223.0   299.4   346.4   376.0   399.1   428.2   467.0   531.7   744.6  3069.6  9829.2  98320.3    98284
read      347.4   247.6   160.7   210.6   222.8   303.1   358.1   395.4   426.0   463.8   512.0   584.7   815.7  3033.5  8017.1  71441.0    71313
read      477.5   731.2   160.7   212.3   226.5   369.5   471.2   541.1   599.4   672.6   768.5   959.9  1529.1  8668.5 31663.4  42084.4    42089
read      467.8   545.4   160.7   212.8   226.7   367.9   471.5   543.3   604.4   685.2   790.1   979.5  1475.9  5962.4 22479.0  46418.0    46458
read      481.7   718.4   148.8   216.9   231.7   388.2   489.1   556.8   610.8   671.8   742.0   857.8  1442.5  9867.9 31616.3  30567.3    30755
read      483.5   697.0   160.7   214.5   228.5   376.9   484.6   557.8   621.5   700.2   798.6   980.6  1476.4  9152.7 30722.4  42941.4    42889
read      340.1   347.2   160.7   209.8   221.9   295.6   342.1   372.2   396.5   427.5   469.0   538.1   945.2  3838.9 14472.7  93454.3    93552
read      352.9   333.0   148.8   211.7   223.9   305.7   362.4   400.7   432.8   471.4   519.2   586.6   799.6  3765.7 13198.2  65800.7    65694
read      490.4   848.7   160.7   215.6   230.4   384.2   485.1   552.2   603.6   662.0   731.3   852.2  1657.3 10687.1 32295.0  29566.1    29574
read      455.9   456.9   160.7   211.6   225.2   359.4   460.7   529.8   588.9   668.2   774.4   965.2  1505.2  5400.1 14441.2  51354.0    51355
read      358.4   381.5   160.7   211.4   223.6   304.8   359.6   397.2   429.1   468.5   517.8   588.7   974.8  4743.7 13231.5  67224.2    67361
read      498.2  1080.7   160.7   217.5   232.5   393.4   484.7   533.5   566.0   600.8   642.5   723.3  2164.9 13503.2 35049.5  16235.6    16287
read      346.7   344.1   160.7   210.2   222.4   299.8   350.3   384.2   410.6   445.6   492.8   567.3   929.1  3477.5 11896.0  81201.7    81508
read      339.3   295.8   148.8   211.1   223.3   301.0   350.5   382.2   405.8   436.6   478.7   544.0   739.4  3241.9 13063.7  87710.6    87619
read      336.8   311.1   160.7   211.6   223.7   299.1   345.7   375.2   398.2   427.2   465.8   530.2   751.7  3522.0 10733.6  99148.6    99068
read      448.9   441.9   160.7   213.7   227.2   363.0   461.3   525.3   579.4   649.8   742.7   916.0  1445.9  4346.6 12847.2  51218.5    51267
read      496.1  1089.8   173.5   221.5   237.4   401.3   474.2   510.4   534.5   561.2   593.6   660.9  2886.0 13511.1 34474.7  11751.1    11822
read      345.1   393.6   160.7   211.0   223.3   299.2   344.5   373.6   397.0   426.5   466.4   535.4  1094.5  4308.8 18475.4  97360.6    97494
read      325.8   224.1   160.7   209.7   221.6   291.8   335.3   363.4   385.6   413.9   453.5   512.6   705.6  2615.2  7585.8  97274.7    97350
read      457.1   531.1   160.7   211.5   225.0   350.6   452.1   522.3   582.9   666.0   779.1   978.2  1535.1  6720.3 19322.1  55546.1    55460
read      338.5   302.1   160.7   210.1   222.1   295.9   343.4   374.4   399.9   432.1   474.8   542.3   834.2  3614.5  9475.0  86131.8    85984
read      334.2   316.5   160.7   209.6   221.5   294.5   342.5   373.9   399.7   432.7   475.1   539.4   708.4  3037.2 11606.2  82136.2    82043
read      458.3   656.6   160.7   212.0   225.6   352.7   450.1   514.8   570.6   641.9   740.6   924.7  1503.9  8184.3 31011.7  52902.0    52873
read      487.8  1021.7   160.7   220.9   236.1   396.6   480.1   522.7   549.6   581.1   620.8   686.4  2095.9 13876.6 36357.4  13922.6    13911
read      465.9   605.9   160.7   213.0   226.7   362.3   465.0   532.6   589.6   664.7   770.2   971.6  1561.2  7125.5 30263.3  49969.6    49984
read      490.8  1222.5   173.5   226.2   245.1   393.1   453.2   483.5   504.1   530.0   562.3   621.5  2532.6 22891.6 33414.5   9315.7     9274
read      474.1   792.6   160.7   214.1   228.9   381.6   475.2   539.1   585.5   636.7   694.6   788.8  1579.1 10494.6 31647.4  27198.4    27187
read      469.2   872.1   160.7   215.7   230.5   386.6   481.3   533.9   568.1   604.6   646.5   720.5  1485.0 11013.2 32220.1  18680.4    18735
read      344.9   377.1   160.7   210.8   222.9   298.2   345.5   377.4   402.3   435.1   479.5   548.2   896.0  4562.7 13016.5  86370.4    86505
read      328.6   265.5   160.7   209.3   221.3   293.1   338.0   367.0   390.2   419.4   458.7   518.8   702.8  2998.9 10252.7  93016.9    93039
read      338.5   322.1   160.7   209.9   221.9   296.8   346.3   380.4   407.5   443.2   488.5   550.7   722.2  3183.9 12917.1  75990.1    75999
read      459.3   636.8   160.7   213.1   227.8   374.5   467.5   530.3   580.5   636.9   704.4   806.3  1370.9  9178.5 29030.6  32375.0    32324
read      343.8   262.1   160.7   209.0   221.6   301.4   352.0   383.7   407.4   437.6   478.4   545.3  1222.2  2593.5  8100.3  84192.5    84255
read      329.2   158.6   148.8   208.6   221.1   299.8   351.6   383.7   406.9   435.8   471.8   529.0   655.2  1186.3  5692.9  81881.9    81759
read      428.0   302.8   160.7   217.5   232.8   380.9   469.3   525.7   567.9   616.0   672.4   752.9  1012.3  2611.8  9028.1  37308.9    37291
read      419.3   400.2   148.8   212.4   226.8   361.4   453.6   509.5   553.5   607.8   676.3   787.5  1103.8  1995.3 10671.7  53937.3    53818
