#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      381.5   480.9   173.5   250.9   272.1   340.7   369.7   386.7   398.3   414.6   436.2   499.2   705.4  8556.4 17962.8   4887.4     5000  1684175616182  1684175621559
read      383.6   237.8   173.5   238.1   259.5   371.8   413.9   434.4   450.6   467.7   495.4   540.6   666.8  3238.9 11961.6   9984.4    10000  1684175623063  1684175628402
read      399.2   306.2   173.5   230.6   249.9   379.2   438.8   466.6   487.8   511.2   543.8   589.8   729.4  3211.1 14768.1  15064.4    15000  1684175629905  1684175635222
read      394.4   277.1   160.7   225.3   242.4   367.0   437.1   471.8   497.6   525.2   556.1   602.2   718.2  3684.1 11973.9  19969.0    20000  1684175636725  1684175642020
read      393.9   232.2   160.7   223.1   240.4   365.0   436.4   475.9   506.4   538.6   573.9   621.7   741.6  1906.2 10070.9  24958.8    25000  1684175643523  1684175648807
read      399.4   218.5   160.7   222.9   240.9   370.7   437.7   479.9   513.3   548.5   585.8   634.4   768.7  1866.9  8936.0  29927.4    30000  1684175650310  1684175655601
read      394.0   210.3   160.7   221.8   238.0   361.5   428.3   469.8   506.7   546.5   587.9   639.6   780.1  2309.8  8069.9  35149.0    35000  1684175657105  1684175662377
read      394.1   234.4   160.7   219.8   235.9   364.5   429.6   468.6   502.3   542.1   584.3   638.1   771.6  1769.6  9049.6  40099.2    40000  1684175663880  1684175669166
read      388.3   206.3   160.7   218.4   233.8   360.0   424.8   464.0   495.5   533.7   577.4   631.7   775.9  1429.0  8553.3  45103.0    45000  1684175670671  1684175675960
read      384.1   216.0   160.7   217.6   232.6   354.2   416.4   455.5   487.4   527.6   573.7   632.3   769.9  1713.1  8683.9  49921.8    50000  1684175677462  1684175682746
read      376.1   192.1   160.7   216.0   229.9   344.2   407.9   447.2   477.4   518.2   564.8   624.6   772.5  1785.9  7669.8  55114.0    55000  1684175684248  1684175689530
read      366.9   184.6   160.7   212.6   226.2   329.6   394.4   434.9   467.8   511.3   562.0   628.0   777.9  1408.4  7174.9  59884.2    60000  1684175691033  1684175696327
read      356.8   189.3   160.7   212.1   225.1   319.5   379.2   417.2   448.1   489.5   540.5   604.5   742.3  1755.4  7591.7  64713.4    65000  1684175697830  1684175703117
read      353.3   177.2   160.7   212.5   225.5   318.2   374.9   411.0   438.8   478.7   531.9   597.9   736.7  1653.2  8070.4  70052.0    70000  1684175704619  1684175709917
read      346.5   193.8   160.7   210.6   223.4   310.8   365.4   400.7   429.9   468.5   523.1   591.4   720.4  1511.5  7168.6  75219.2    75000  1684175711420  1684175716709
read      348.5   204.5   160.7   211.8   224.4   313.1   368.7   402.6   430.8   467.2   520.3   590.5   741.7  1445.7  8887.2  80069.8    80000  1684175718212  1684175723495
read      352.0   193.3   160.7   212.0   225.0   317.6   374.3   408.6   435.6   472.0   524.0   594.7   744.2  1503.8  7578.2  84886.0    85000  1684175724998  1684175730280
read      345.7   192.2   160.7   211.9   224.7   313.5   366.0   398.1   424.5   459.1   506.9   579.4   729.4  1374.4  7922.0  89763.8    90000  1684175731785  1684175737066
read      338.6   170.5   160.7   211.0   223.6   307.7   357.8   388.5   412.7   445.6   493.8   566.9   715.3  1353.8  5963.6  94853.8    95000  1684175738570  1684175743859
read      346.4   188.4   160.7   214.6   227.3   315.9   367.1   397.6   422.0   454.0   500.1   571.0   721.8  1619.9  5938.5  99984.8   100000  1684175745362  1684175750651
read      335.4   174.3   148.8   212.4   225.0   308.3   355.9   384.5   405.6   434.2   476.5   543.9   685.7  1167.5  6263.9 104824.0   105000  1684175752154  1684175757444
read      343.9   175.4   160.7   215.0   228.3   318.2   365.7   393.4   414.9   442.9   485.1   549.0   703.4  1474.3  7774.3 109788.2   110000  1684175758947  1684175764221
read      334.5   153.1   160.7   214.6   227.2   309.9   353.8   380.1   400.2   427.0   465.6   531.1   682.6  1521.0  4458.1 114890.6   115000  1684175765725  1684175771001
read      343.0   202.0   148.8   219.3   232.2   318.3   362.7   389.3   409.1   435.2   473.5   538.9   692.3  1314.8  8357.5 119952.8   120000  1684175772504  1684175777809
read      352.4   179.5   160.7   221.5   236.1   328.8   374.7   401.9   424.1   451.8   490.9   550.6   703.7  1465.1  7854.3 124791.4   125000  1684175779312  1684175784586
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 74.12%,9.09%,100.00%
