#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      378.6   377.1   173.5   255.8   275.8   346.6   376.5   394.1   405.7   425.6   454.1   520.7   710.5  6356.6 13422.9   5018.4     5000  1684175259329  1684175264702
read      396.7   267.0   173.5   239.5   262.2   379.9   425.0   447.4   462.7   482.3   508.5   556.6   702.6  4428.6 10235.3  10093.2    10000  1684175266204  1684175271529
read      406.4   392.6   160.7   229.7   250.0   382.7   441.9   469.7   492.3   518.0   550.5   600.1   747.1  4275.5 16818.2  14947.8    15000  1684175273032  1684175278320
read      407.5   253.0   173.5   226.6   244.8   379.2   448.8   485.2   511.2   541.9   578.3   632.3   806.8  3601.6  9498.3  19923.8    20000  1684175279824  1684175285119
read      408.7   221.6   160.7   226.6   245.3   379.3   452.0   495.5   525.8   558.6   594.5   644.6   791.5  2378.2  8745.1  24971.0    25000  1684175286622  1684175291927
read      404.3   240.9   160.7   223.3   240.7   369.8   443.4   491.4   527.3   564.8   603.7   657.4   797.9  1706.2  9493.3  30009.4    30000  1684175293430  1684175298739
read      405.3   234.8   160.7   222.8   240.8   371.8   441.5   486.9   523.3   564.1   607.1   664.6   813.3  1728.6  9139.5  35047.0    35000  1684175300242  1684175305534
read      402.4   229.5   160.7   221.9   239.1   370.3   437.1   480.2   516.7   558.5   603.6   663.1   800.6  2454.6  9650.8  39929.6    40000  1684175307037  1684175312319
read      391.5   245.5   160.7   219.6   234.8   358.2   422.6   463.5   497.9   540.8   588.5   647.1   783.0  2123.7 12182.9  44853.2    45000  1684175313821  1684175319110
read      382.8   213.9   160.7   218.0   231.9   347.4   411.5   453.9   488.7   532.5   582.3   641.6   779.8  1940.3  9145.2  49962.6    50000  1684175320613  1684175325900
read      382.0   214.7   160.7   216.6   230.9   347.1   411.9   453.2   486.6   529.4   580.1   640.3   788.4  1824.7  8570.3  54786.2    55000  1684175327404  1684175332693
read      363.6   206.2   160.7   212.4   225.7   324.6   385.9   425.2   458.7   504.5   560.7   627.6   760.5  1807.2  8053.3  59993.0    60000  1684175334196  1684175339476
read      364.9   195.1   148.8   211.9   225.6   328.4   391.0   429.0   461.0   504.6   559.8   630.2   768.4  1491.5  7991.1  64946.9    65000  1684175340980  1684175346267
read      355.5   236.1   160.7   211.7   224.6   315.5   373.8   410.7   441.3   483.3   541.1   616.1   751.6  2065.3 11448.5  70069.0    70000  1684175347770  1684175353053
read      356.8   207.9   160.7   211.4   224.8   320.3   381.0   418.0   447.5   486.3   538.9   611.2   748.0  1471.6  7951.7  74840.0    75000  1684175354555  1684175359842
read      347.6   206.1   160.7   210.6   223.4   311.5   366.7   400.9   429.1   465.3   518.5   591.9   739.4  1827.9  8287.6  79897.2    80000  1684175361346  1684175366635
read      348.4   180.2   160.7   210.8   224.1   314.1   369.8   403.1   431.0   466.2   516.5   588.4   735.2  1649.1  6244.0  85257.0    85000  1684175368138  1684175373428
read      344.2   180.0   160.7   210.7   223.5   311.5   365.7   397.8   423.8   456.9   504.2   577.9   726.6  1866.2  7823.9  89776.8    90000  1684175374931  1684175380211
read      348.2   201.8   160.7   212.0   225.3   316.6   369.8   401.7   428.2   461.7   507.6   578.8   726.8  1436.9  8344.2  95072.5    95000  1684175381714  1684175387001
read      344.6   192.0   160.7   213.3   226.3   315.1   366.2   396.6   420.7   451.1   494.0   562.2   703.3  1682.4  8509.9 100027.4   100000  1684175388505  1684175393801
read      350.0   181.8   160.7   214.8   228.3   322.3   373.5   403.3   427.5   457.8   500.3   568.7   724.9  1466.9  8000.1 105074.0   105000  1684175395304  1684175400582
read      339.1   169.7   160.7   215.2   227.7   314.0   360.4   388.0   408.6   435.5   475.4   542.6   686.7  1308.7  6889.8 110048.6   110000  1684175402085  1684175407361
read      345.6   170.5   160.7   216.1   229.8   322.1   369.0   396.7   418.2   444.9   484.0   546.4   691.8  1121.3  8287.2 114904.5   115000  1684175408864  1684175414147
read      358.4   216.1   160.7   220.8   235.1   328.9   378.8   409.4   433.6   466.3   510.5   581.8   748.1  1384.7  9208.2 120226.8   120000  1684175415649  1684175420933
read      385.3   189.4   160.7   230.3   249.4   361.4   412.2   443.4   468.5   500.8   543.5   615.7   782.3  1198.9  8119.4 124788.4   125000  1684175422435  1684175427715
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 73.10%,7.54%,100.00%
