#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      402.9   455.9   173.5   251.6   273.5   364.1   399.6   421.0   435.7   463.9   498.9   553.5   775.0  7891.4 15710.5   4928.8     5000  1684174957765  1684174963126
read      435.6   328.8   173.5   235.1   257.0   399.7   473.7   515.9   542.6   573.7   612.1   672.6   852.1  5830.0 10185.4   9957.4    10000  1684174964628  1684174969971
read      468.1   328.2   173.5   226.5   244.5   407.9   515.2   577.2   624.6   684.1   754.7   853.7  1052.2  4100.6  9851.4  15057.6    15000  1684174971474  1684174976766
read      486.9   356.7   173.5   229.1   250.7   432.7   545.4   609.2   652.9   702.0   761.8   851.1  1056.4  3814.2 13602.6  20024.0    20000  1684174978269  1684174983559
read      502.0   362.8   173.5   223.8   240.0   408.1   538.4   621.0   690.1   787.5   907.7  1073.2  1358.4  2685.4 13053.4  24935.0    25000  1684174985062  1684174990362
read      489.3   308.4   173.5   224.0   241.5   412.7   541.6   621.2   678.8   747.4   833.4   970.3  1252.9  2484.2  8527.9  30030.4    30000  1684174991864  1684174997162
read      501.7   405.9   160.7   219.9   234.6   395.0   528.7   617.2   694.4   791.5   915.7  1105.9  1511.8  3317.5 15679.7  34940.0    35000  1684174998665  1684175003970
read      486.0   336.6   160.7   220.3   235.3   384.8   517.6   609.6   683.9   774.5   879.6  1047.1  1364.4  2647.6 12112.0  39762.6    40000  1684175005474  1684175010754
read      471.8   328.3   160.7   218.1   231.6   367.7   490.6   580.7   658.9   754.8   866.8  1034.9  1379.9  2368.4  9792.5  44849.9    45000  1684175012257  1684175017543
read      465.0   338.5   160.7   216.4   230.4   359.1   473.6   564.4   643.4   739.4   855.6  1039.6  1412.6  2337.9 11257.3  49922.0    50000  1684175019046  1684175024329
read      462.6   343.0   160.7   213.8   227.6   343.5   447.4   535.8   610.1   723.7   881.4  1137.8  1583.1  2289.9  7988.4  55001.8    55000  1684175025832  1684175031117
read      461.2   338.4   160.7   214.8   229.4   352.2   457.9   541.3   616.4   718.1   849.7  1061.0  1541.0  2310.4 10721.3  60012.5    60000  1684175032619  1684175037907
read      457.0   342.7   160.7   218.0   231.9   350.4   452.0   533.0   601.5   699.3   838.2  1057.0  1499.5  2151.5 11845.9  65022.4    65000  1684175039410  1684175044702
read      449.2   349.9   160.7   215.1   229.4   341.5   432.7   510.2   581.5   688.4   835.3  1046.6  1499.6  2802.5 10837.1  70031.0    70000  1684175046204  1684175051487
read      460.7   356.9   160.7   219.5   234.1   344.7   432.4   508.8   580.2   691.2   866.8  1112.8  1701.7  2762.4  9617.8  74691.0    75000  1684175052991  1684175058273
read      465.1   368.3   160.7   222.1   238.0   352.2   436.2   510.2   582.1   696.4   858.9  1102.3  1695.2  3247.5 10867.3  80033.4    80000  1684175059776  1684175065060
read      540.7   512.5   160.7   228.3   247.5   366.0   474.5   587.0   695.0   864.0  1071.2  1402.5  2316.7  4363.6 14592.3  84778.2    85000  1684175066564  1684175071871
read      777.6   910.8   160.7   293.7   317.6   403.1   578.2  1250.4  1448.1  1564.8  1676.7  1837.6  2765.6 10731.1 30082.6  84640.2    90000  1684175073375  1684175078646
read      778.5   979.3   160.7   289.2   312.9   402.2   566.1  1259.5  1454.2  1566.7  1676.5  1829.1  2750.6 12189.8 32199.3  85014.2    95000  1684175080149  1684175085433
read      757.7  1011.9   160.7   282.2   302.9   390.5   530.2  1187.5  1423.9  1536.5  1650.4  1798.2  2722.1 12448.6 32097.5  87632.6   100000  1684175086935  1684175092225
read      732.1   925.2   148.8   274.9   293.8   379.3   503.8  1094.3  1405.6  1516.9  1630.1  1774.8  2684.4 12575.6 30959.9  90230.8   105000  1684175093728  1684175099015
read      769.8   939.0   173.5   290.0   311.0   397.3   545.9  1255.1  1452.0  1562.5  1671.3  1824.1  2741.0 11935.6 31257.9  85843.8   110000  1684175100518  1684175105802
read      777.4   954.9   160.7   293.0   315.0   399.7   549.4  1281.3  1462.6  1573.0  1681.6  1829.6  2741.8 12635.7 30930.3  85018.0   115000  1684175107305  1684175112585
read      745.7   965.0   160.7   282.9   302.3   380.4   503.6  1185.0  1420.6  1528.6  1644.2  1791.5  2715.6 12546.0 30858.1  88877.4   120000  1684175114088  1684175119369
read      760.1   945.3   160.7   286.3   306.5   391.4   523.4  1238.8  1441.0  1549.1  1658.4  1807.8  2740.0 12348.9 31612.8  86969.0   125000  1684175120872  1684175126173
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 74.26%,8.54%,100.00%
