#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      340.8   356.8   160.7   216.2   227.3   300.0   344.7   374.5   399.1   430.7   475.8   546.6   710.1  4074.7 14324.1  91622.8    91528
read      456.4   476.9   160.7   219.4   233.3   372.5   470.6   537.1   589.8   654.9   736.0   872.8  1380.0  5587.1 14816.2  51579.7    51429
read      347.4   385.9   160.7   214.0   225.3   295.6   342.9   378.1   409.9   453.8   510.7   584.8   802.7  4263.2 16969.1  77205.9    77199
read      431.5   631.1   160.7   216.9   229.5   341.3   430.8   492.5   539.3   597.8   682.0   831.7  1409.4  6441.3 20985.1  62209.3    62131
read      337.8   332.0   160.7   215.2   226.3   295.8   338.6   367.2   391.1   422.6   466.8   539.7   780.7  3566.2 11663.0  95339.4    95346
read      327.1   316.6   160.7   213.9   225.0   291.1   330.2   356.4   377.3   405.6   449.1   517.3   680.2  3259.2 10705.6  98722.7    98908
read      489.8   851.5   173.5   224.2   240.8   420.0   511.9   554.8   583.3   615.1   652.3   711.2  1623.4 11930.7 31734.1  16135.2    16277
read      491.8   837.4   173.5   223.7   240.1   415.3   515.7   563.4   593.0   626.6   667.5   732.4  2223.0  9463.9 32118.2  17392.5    17385
read      506.4  1043.0   173.5   230.0   249.2   428.8   500.4   535.8   559.3   585.9   621.2   680.8  2619.9 11001.0 36848.5  11967.4    11933
read      408.6   446.2   160.7   218.2   230.4   326.6   403.2   460.6   506.8   560.8   632.3   768.4  1330.0  5834.2 14616.7  64615.4    64694
read      474.5   653.3   160.7   220.7   236.2   388.2   488.7   553.1   604.9   664.6   734.8   848.9  1405.3  7848.3 30648.9  42687.9    42652
read      343.8   320.8   160.7   217.4   228.4   301.0   344.4   373.6   398.0   430.0   475.1   551.0   872.8  3714.2 10761.6  96098.6    95922
read      333.1   341.1   160.7   214.1   225.2   292.2   334.2   364.2   390.1   425.5   474.3   545.5   693.4  3533.5 13618.9  86875.9    86821
read      338.6   339.9   160.7   213.7   224.9   293.0   336.9   368.4   396.5   435.3   488.1   560.7   722.1  4747.1 12249.3  82044.7    82202
read      370.3   361.4   160.7   217.1   228.4   310.1   370.1   417.7   458.4   507.0   566.0   645.5   947.0  3995.9 12713.9  67331.5    67369
read      410.9   402.8   160.7   218.6   230.5   330.1   410.7   469.3   515.3   571.4   641.6   775.5  1355.5  4848.6 12925.9  60931.6    61121
read      470.8   642.2   160.7   220.0   235.0   384.9   483.9   548.3   599.5   660.5   730.3   842.0  1311.5  9246.8 31030.6  41178.5    41121
read      458.7   509.0   173.5   233.4   254.7   434.4   497.5   530.1   552.1   580.1   615.2   672.6   857.6  7027.3 27910.6  11941.1    12010
read      441.4   268.7   160.7   225.8   244.6   405.0   502.9   556.9   591.9   629.2   672.0   731.6   862.3  2430.6 10580.4  27600.8    27588
read      442.5   336.7   173.5   233.0   253.5   429.0   499.2   532.1   553.7   579.8   612.3   664.0   796.5  4459.9 12882.4  13279.7    13253
read      438.4   274.0   160.7   226.3   245.0   409.2   506.3   552.9   582.0   613.6   649.3   703.8   832.0  2747.7 11500.6  20552.7    20571
read      347.5   232.1   160.7   218.5   229.6   306.2   356.9   393.7   425.2   465.6   516.5   587.3   741.3  2012.5  8785.7  76098.4    76124
read      437.7   266.4   160.7   223.5   240.6   386.3   482.6   543.9   589.1   639.4   697.8   779.8   978.4  2363.0  9700.8  44815.5    44626
read      438.4   268.7   160.7   222.8   239.5   403.6   509.4   563.9   596.7   628.4   665.9   720.6   863.6  2694.3 10119.3  20760.4    20654
read      432.5   284.4   160.7   220.7   236.2   385.5   477.8   535.9   580.0   628.5   686.0   769.1   982.9  1886.9  9561.4  44479.9    44403
read      339.2   232.3   160.7   214.2   225.4   298.0   346.2   380.0   407.8   446.2   496.4   571.9   738.4  2502.4  8789.5  82033.5    82301
read      477.4   511.2   160.7   223.9   240.5   419.0   536.3   596.5   633.5   672.6   717.2   781.1  1077.7  6665.8 24276.9  22031.0    22084
read      469.1   533.1   160.7   219.7   234.1   388.4   497.4   568.3   621.7   683.2   752.6   860.2  1277.5  5973.6 30196.1  43956.8    43797
read      461.7   442.3   160.7   221.0   235.5   369.3   473.5   542.8   597.9   669.3   762.9   925.3  1456.6  5890.0 13533.8  54421.3    54351
read      353.4   306.1   160.7   215.9   227.1   303.8   357.6   397.8   433.8   480.6   536.1   607.5   774.7  3495.3  9059.0  69853.7    69757
read      515.5  1166.5   187.4   261.8   291.1   419.4   466.2   491.2   507.5   531.8   562.9   624.4  3231.0 21865.7 38063.0   5832.9     5788
read      450.2   454.9   160.7   219.9   233.5   359.8   461.2   528.3   582.0   649.0   741.4   906.7  1401.2  5627.9 15233.5  57301.1    57398
read      358.5   321.9   160.7   217.2   228.4   307.1   362.5   403.8   442.4   490.9   546.1   619.4   793.7  3356.5  9541.3  68685.7    68766
