Random waveform, random seed
Total number of intervals = 120 (55543, 49101, 94365, 38365, 69560, 21756, 34751, 24257, 82800, 51792, 6952, 46942, 6742, 35274, 71152, 84640, 11356, 49490, 75249, 70853, 9659, 40347, 33600, 60521, 14879, 83590, 21868, 24025, 73480, 67286, 91117, 82521, 10167, 21705, 39304, 69299, 5494, 44796, 24718, 29757, 75280, 14048, 70737, 42019, 96973, 85027, 51814, 90800, 77177, 76388, 18804, 17310, 86999, 36966, 15256, 55809, 64143, 83632, 62121, 27579, 42391, 79065, 74993, 36656, 21916, 64298, 32317, 70415, 54146, 33424, 57788, 62141, 73423, 69976, 78063, 52168, 52521, 98096, 42655, 49904, 96711, 39017, 90801, 89994, 11486, 53855, 88784, 21339, 55919, 6521, 16964, 67197, 17266, 7523, 44680, 75611, 71414, 29220, 78670, 79102, 35192, 26196, 85583, 73692, 24042, 75876, 55857, 14396, 38751, 96952, 14276, 12706, 43209, 61670, 50627, 87424, 52871, 75927, 68461, 86634)
Average QPS expected = 52056
Timestamp start: 1684664931092
Timestamp end: 1684666131490

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      415.8   523.1   148.8   193.3   204.8   293.0   363.1   423.5   489.0   606.8   788.7   976.4  1590.0  6056.2 18919.5  69322.4    69299
read      427.5  1201.8   160.7   222.1   244.9   335.8   370.2   389.4   401.9   419.1   438.2   475.5  2209.1 28167.1 37036.4   5522.5     5494
read      434.1   581.8   148.8   195.5   207.7   336.8   443.2   514.6   582.5   658.7   736.8   856.9  1176.0  8067.2 28612.1  44716.1    44796
read      441.2   775.0   148.8   194.6   207.3   368.8   451.3   510.6   550.7   592.0   638.1   706.4  1177.9  8250.8 32285.2  24671.2    24718
read      438.2   569.1   148.8   194.9   207.1   368.3   457.7   521.2   572.5   627.6   686.9   772.6  1240.8  7452.7 30125.1  29883.1    29757
read      410.8   558.0   148.8   194.5   206.1   290.9   350.7   398.8   449.0   539.2   743.2   986.4  1736.1  6418.0 22951.6  75313.0    75280
read      443.6   935.9   148.8   199.9   213.6   372.1   442.6   479.2   502.7   528.7   558.9   610.5  1433.3 11781.3 32522.6  14024.8    14048
read      411.8   490.7   148.8   193.6   205.2   296.6   367.9   426.8   486.8   594.7   766.6   941.7  1548.6  4735.1 17599.6  70743.6    70737
read      429.4   495.7   148.8   194.2   206.0   342.2   446.3   517.2   583.4   656.9   734.4   846.7  1162.2  5984.7 19854.9  41955.1    42019
read      436.6   931.8   148.8   197.7   210.0   291.4   330.8   357.2   381.2   421.1   502.1   971.9  3737.0 10236.3 31979.8  96996.0    96973
read      390.3   525.3   148.8   194.0   205.3   283.0   335.8   373.6   409.2   465.8   602.8   957.1  2002.0  5786.1 15399.8  85110.8    85027
read      429.4   547.0   148.8   194.0   205.5   314.1   416.4   492.6   572.7   673.4   782.6   948.3  1292.6  7180.0 24920.8  51878.2    51814
read      406.2   665.5   148.8   195.6   207.4   286.8   333.2   366.2   397.5   447.8   566.7   944.5  2449.3  7046.5 30879.8  90842.1    90800
read      398.9   429.9   148.8   193.6   205.1   290.1   353.2   401.7   453.2   543.5   717.9   952.9  1643.2  4063.7 12701.2  77364.8    77177
read      399.7   432.1   148.8   193.3   204.7   290.9   353.4   402.4   453.9   544.4   721.2   943.4  1661.3  4521.3 12424.2  76388.3    76388
read      434.1   696.6   148.8   196.5   210.0   372.4   451.1   503.0   534.6   569.0   610.1   673.1  1137.9  9041.3 35286.6  18858.3    18804
read      434.6   780.8   160.7   196.3   209.6   368.6   445.3   492.4   522.0   550.0   587.2   639.1  1178.1 11151.0 31720.9  17337.9    17310
read      400.1   600.5   148.8   193.8   205.2   284.4   333.7   369.4   402.6   456.4   585.3   995.8  2409.0  5964.8 28722.5  86860.6    86999
read      435.3   579.3   148.8   193.8   205.6   349.6   451.2   522.0   585.1   648.9   720.2   831.4  1186.5  7468.4 30802.6  37006.5    36966
read      421.8   682.2   148.8   200.3   214.1   371.1   441.9   479.8   505.5   533.2   567.5   623.5  1114.1  8075.5 31533.0  15286.0    15256
read      394.8   255.8   148.8   193.9   206.2   328.3   422.0   485.7   538.3   602.5   679.2   798.8  1073.6  1535.0  8089.4  55806.1    55809
read      388.1   262.6   148.8   192.8   204.9   315.4   401.2   462.8   516.5   585.9   672.0   813.4  1169.8  1611.6  8457.8  64127.3    64143
read      373.9   372.1   148.8   195.5   207.2   288.4   342.1   379.2   411.9   461.6   565.0   904.8  1609.0  3955.7  9020.6  83707.2    83632
read      381.8   251.5   148.8   193.1   205.1   319.4   403.6   462.8   514.0   573.6   640.5   752.1  1061.1  1654.2  7955.5  62138.2    62121
read      387.2   215.7   148.8   197.3   210.6   361.0   437.7   484.9   518.4   553.8   598.1   654.3   782.7  1596.3  7933.7  27475.0    27579
read      407.8   316.3   148.8   195.3   207.7   345.1   438.9   500.8   551.2   613.2   686.3   796.5  1064.0  3385.5 10451.2  42308.2    42391
read      398.2   471.3   148.8   197.2   209.0   293.0   348.1   388.6   425.9   485.6   630.0   953.9  1848.0  4867.9 15810.0  78964.4    79065
read      399.2   417.6   148.8   196.0   207.6   292.0   352.5   399.0   446.5   531.6   726.2   964.3  1617.4  4050.4 12352.1  75140.6    74993
read      437.2   448.1   148.8   197.3   209.5   355.9   462.2   537.0   604.5   672.6   744.0   860.4  1171.4  5072.6 14053.9  36624.2    36656
read      428.4   472.6   148.8   199.5   212.3   381.3   461.9   520.8   560.7   603.8   650.4   726.9  1037.4  5335.2 20425.3  22092.8    21916
read      421.6   435.2   148.8   196.7   208.4   302.3   378.1   447.1   518.5   648.1   822.1   997.2  1524.9  4055.8 13992.2  64382.5    64298
read      441.5   542.8   148.8   197.4   209.6   371.0   466.0   532.9   589.1   646.1   710.8   803.0  1157.0  6810.8 28488.6  32374.7    32317
read      381.7   253.3   148.8   193.1   205.0   308.9   388.6   446.7   498.4   563.5   650.6   803.1  1202.2  1975.7  7699.2  70350.5    70415
